userid,rumour_ratio,sum_RR_following,following_count,avg_RR_following,avg_userRR_followingRR,userRR_OR_avgfollowingRR,user_status1,user_status2
2426,0,4.8,13,0.369231,0.184615,0.369231,-1,-1
4816,0,4.03238,20,0.201619,0.100809,0.201619,-1,-1
13374,0,17.1931,50,0.343862,0.171931,0.343862,-1,-1
428333,0.756757,6.33967,11,0.576334,0.666545,0.756757,1,1
465973,0,0,1,0,0,0,-1,-1
612473,0,3.54133,10,0.354133,0.177067,0.354133,-1,-1
624413,0,1.47826,2,0.73913,0.369565,0.73913,0,-1
645503,0,2.04762,10,0.204762,0.102381,0.204762,-1,-1
646483,0,0,0,0,0,0,-1,-1
742143,0.380952,2.16038,5,0.432076,0.406514,0.380952,0,-1
759251,0.4375,11.409,22,0.518591,0.478045,0.4375,0,-1
786764,0,26.297,63,0.417413,0.208706,0.417413,-1,-1
788524,0.333333,22.6068,48,0.470975,0.402154,0.333333,0,-1
806133,0,3.208,10,0.3208,0.1604,0.3208,-1,-1
807095,0.625,3.83333,7,0.547619,0.586309,0.625,1,1
807242,0,0,2,0,0,0,-1,-1
820585,0,55.7361,178,0.313124,0.156562,0.313124,-1,-1
824157,0,12.6667,36,0.351853,0.175926,0.351853,-1,-1
972651,0.611111,20.0008,49,0.40818,0.509645,0.611111,0,1
1077971,0,3.51111,15,0.234074,0.117037,0.234074,-1,-1
1344951,1,2,3,0.666667,0.833333,1,1,1
1367531,0.709677,7.69009,16,0.480631,0.595154,0.709677,1,1
1652541,0.8,24.6764,48,0.514092,0.657046,0.8,1,1
1877831,1,16.1661,37,0.436922,0.718461,1,1,1
1994321,0,3.5,4,0.875,0.4375,0.875,0,-1
2097571,0.652174,6.02759,15,0.401839,0.527007,0.652174,0,1
2195241,0,21.1454,56,0.377597,0.188798,0.377597,-1,-1
2467791,0.5,31.6746,67,0.472755,0.486378,0.5,0,-1
2768501,0.583333,24.8993,54,0.461098,0.522216,0.583333,0,1
3108351,0.478261,3.06863,9,0.340959,0.40961,0.478261,0,-1
3806691,0,0,0,0,0,0,-1,-1
4126501,0,7.41038,24,0.308766,0.154383,0.308766,-1,-1
4970411,0.4,0.5,2,0.25,0.325,0.4,-1,-1
5402612,0.660377,0.380952,2,0.190476,0.425427,0.660377,0,-1
5695632,1,31.2964,79,0.396157,0.698079,1,1,1
5698002,0,22.7213,42,0.540983,0.270492,0.540983,-1,-1
5858532,0,1.74667,12,0.145556,0.0727779,0.145556,-1,-1
5867842,1,16.046,31,0.517613,0.758806,1,1,1
5971922,0,1.5,4,0.375,0.1875,0.375,-1,-1
5988062,0,14.163,26,0.544731,0.272365,0.544731,-1,-1
6017542,0.8,51.3414,91,0.564191,0.682096,0.8,1,1
6107422,0,16.4765,30,0.549217,0.274608,0.549217,-1,-1
6160792,0,22.4939,56,0.401677,0.200838,0.401677,-1,-1
6361512,0,5.90326,11,0.53666,0.26833,0.53666,-1,-1
6473022,0,18.8846,75,0.251795,0.125897,0.251795,-1,-1
6591312,1,54.1111,117,0.462488,0.731244,1,1,1
6705042,0,9.51183,35,0.271767,0.135883,0.271767,-1,-1
7309052,1,55.8189,126,0.443007,0.721504,1,1,1
7587032,0.555556,0.714286,1,0.714286,0.634921,0.555556,1,1
7589572,0,15.1607,43,0.352574,0.176287,0.352574,-1,-1
7702542,0,15.6715,41,0.382232,0.191116,0.382232,-1,-1
7744592,0.4,28.728,67,0.428776,0.414388,0.4,0,-1
7779462,0,0.844444,4,0.211111,0.105555,0.211111,-1,-1
7874982,0,9.147,22,0.415773,0.207886,0.415773,-1,-1
7993262,0,0,0,0,0,0,-1,-1
8161232,0,0.5,11,0.0454545,0.0227273,0.0454545,-1,-1
8350912,0,0,1,0,0,0,-1,-1
8475532,0,27.1717,77,0.352879,0.17644,0.352879,-1,-1
8547752,0,3.7241,7,0.532014,0.266007,0.532014,-1,-1
9207632,0,2.61667,9,0.290741,0.145371,0.290741,-1,-1
9487272,0,2,6,0.333333,0.166667,0.333333,-1,-1
9507342,1,89.5305,241,0.371496,0.685748,1,1,1
9651232,0,1.8,5,0.36,0.18,0.36,-1,-1
9890492,0,14.3401,38,0.377371,0.188686,0.377371,-1,-1
10102272,0,4,11,0.363636,0.181818,0.363636,-1,-1
10313752,0,9.77964,21,0.465697,0.232849,0.465697,-1,-1
10876852,0,2.6,4,0.65,0.325,0.65,-1,-1
11018152,0,0.380952,6,0.063492,0.031746,0.063492,-1,-1
11203972,0,25.2201,61,0.413444,0.206722,0.413444,-1,-1
11345012,0,16.225,39,0.416026,0.208013,0.416026,-1,-1
11793022,0,0,0,0,0,0,-1,-1
12716032,0,12.2052,37,0.32987,0.164935,0.32987,-1,-1
12858902,0,9.82206,21,0.467717,0.233859,0.467717,-1,-1
13493302,0,45.1532,105,0.430031,0.215015,0.430031,-1,-1
13496142,0,0,1,0,0,0,-1,-1
13753642,0,0,8,0,0,0,-1,-1
14082466,0,20.2776,45,0.450614,0.225307,0.450614,-1,-1
14085040,0,7.72919,17,0.454658,0.227329,0.454658,-1,-1
14095052,0,6.79904,26,0.261502,0.130751,0.261502,-1,-1
14123751,0,13.2965,43,0.309221,0.15461,0.309221,-1,-1
14138785,0.666667,9.35715,23,0.406833,0.53675,0.666667,0,1
14159148,0,0,3,0,0,0,-1,-1
14173315,0.576923,19.48,39,0.499487,0.538205,0.576923,0,1
14231313,0,0,0,0,0,0,-1,-1
14260960,0,19.4268,39,0.498123,0.249062,0.498123,-1,-1
14264854,0,13.1915,23,0.573544,0.286772,0.573544,-1,-1
14275129,0,0.5,5,0.1,0.05,0.1,-1,-1
14287669,0,56.0387,142,0.394639,0.197319,0.394639,-1,-1
14291684,0,3.56862,11,0.32442,0.16221,0.32442,-1,-1
14293310,0.25,16.0908,33,0.4876,0.3688,0.25,0,-1
14353202,0,31.4058,80,0.392572,0.196286,0.392572,-1,-1
14372486,0,4.46877,9,0.49653,0.248265,0.49653,-1,-1
14401607,1,50.1447,115,0.436041,0.71802,1,1,1
14413869,0,21.4504,47,0.456391,0.228196,0.456391,-1,-1
14460241,1,18.7687,38,0.493913,0.746957,1,1,1
14465607,0,38.8587,94,0.41339,0.206695,0.41339,-1,-1
14485018,0,1.44444,2,0.722222,0.361111,0.722222,0,-1
14511951,0.4,66.1676,148,0.447078,0.423539,0.4,0,-1
14515799,1,32.4565,88,0.368824,0.684412,1,1,1
14521106,0,31.0227,66,0.470041,0.235021,0.470041,-1,-1
14569869,1,25.0291,62,0.403695,0.701848,1,1,1
14588748,0,30.5151,96,0.317866,0.158933,0.317866,-1,-1
14599545,0,11.1893,40,0.279733,0.139866,0.279733,-1,-1
14606079,0,9.21925,20,0.460962,0.230481,0.460962,-1,-1
14677919,0,13.6934,33,0.414952,0.207476,0.414952,-1,-1
14700117,0,7.70718,20,0.385359,0.192679,0.385359,-1,-1
14700316,0,60.2851,162,0.37213,0.186065,0.37213,-1,-1
14717197,0.8,18.2442,42,0.434386,0.617193,0.8,1,1
14722676,0,11.8384,23,0.514713,0.257357,0.514713,-1,-1
14831475,0,11.4366,33,0.346564,0.173282,0.346564,-1,-1
14888597,0,10.4531,22,0.475143,0.237572,0.475143,-1,-1
14892665,0,26.2649,60,0.437748,0.218874,0.437748,-1,-1
14940354,0.666667,46.9214,102,0.460014,0.56334,0.666667,1,1
15012486,0.833333,7.47826,14,0.534161,0.683747,0.833333,1,1
15028398,0,4.59322,24,0.191384,0.0956921,0.191384,-1,-1
15084853,0,0,0,0,0,0,-1,-1
15108702,0.6,11.285,19,0.593947,0.596974,0.6,1,1
15143478,0,0.666667,6,0.111111,0.0555556,0.111111,-1,-1
15164565,0,19.5492,41,0.47681,0.238405,0.47681,-1,-1
15170194,0,2.33333,15,0.155555,0.0777777,0.155555,-1,-1
15179672,0,3.37467,8,0.421833,0.210917,0.421833,-1,-1
15224867,0,12.2838,25,0.491352,0.245676,0.491352,-1,-1
15234407,0,0,1,0,0,0,-1,-1
15234546,1,17.7033,37,0.478468,0.739234,1,1,1
15235811,0,2.66038,9,0.295598,0.147799,0.295598,-1,-1
15279429,0,23.1952,55,0.421731,0.210865,0.421731,-1,-1
15319103,0,6.77032,19,0.356333,0.178166,0.356333,-1,-1
15348883,0,23.0004,61,0.377056,0.188528,0.377056,-1,-1
15438913,0.333333,12.4337,25,0.497348,0.415341,0.333333,0,-1
15439395,0,11.3655,42,0.270607,0.135304,0.270607,-1,-1
15486071,0,0,3,0,0,0,-1,-1
15557246,0,6.21538,28,0.221978,0.110989,0.221978,-1,-1
15644999,0,4.60848,43,0.107174,0.053587,0.107174,-1,-1
15754281,0.8,24.1452,48,0.503025,0.651513,0.8,1,1
15798091,0,3.69255,14,0.263753,0.131877,0.263753,-1,-1
15956067,0,58.0615,159,0.365167,0.182583,0.365167,-1,-1
15995155,0,7.16176,17,0.42128,0.21064,0.42128,-1,-1
16012783,0,25.279,59,0.428458,0.214229,0.428458,-1,-1
16029780,0,4.21111,14,0.300794,0.150397,0.300794,-1,-1
16031927,1,44.8159,95,0.471746,0.735873,1,1,1
16076032,0,21.1973,78,0.27176,0.13588,0.27176,-1,-1
16077204,0,41.5406,93,0.446673,0.223337,0.446673,-1,-1
16080866,0,0,0,0,0,0,-1,-1
16096416,0,0,0,0,0,0,-1,-1
16106584,0,5.8,13,0.446154,0.223077,0.446154,-1,-1
16153562,0,5.59698,20,0.279849,0.139925,0.279849,-1,-1
16164636,0,5.01111,16,0.313194,0.156597,0.313194,-1,-1
16170253,0,23.9608,69,0.347258,0.173629,0.347258,-1,-1
16183458,0,26.323,55,0.4786,0.2393,0.4786,-1,-1
16184358,0,21.373,47,0.454745,0.227372,0.454745,-1,-1
16211566,0,5.11111,12,0.425926,0.212963,0.425926,-1,-1
16305558,0,22.0713,56,0.394131,0.197065,0.394131,-1,-1
16311797,0,8.89009,22,0.404095,0.202047,0.404095,-1,-1
16330790,0,71.0263,167,0.425307,0.212654,0.425307,-1,-1
16343974,0.4,3.808,8,0.476,0.438,0.4,0,-1
16395449,0,2.20192,3,0.733973,0.366987,0.733973,0,-1
16416978,0,0,0,0,0,0,-1,-1
16513349,0,15.6495,39,0.401269,0.200635,0.401269,-1,-1
16525194,0,0,1,0,0,0,-1,-1
