"userid","rcount","nrcount","rumour_ratio","sum_RR_following","following_count","avg_RR_following","avg_userRR_followingRR","userRR_OR_avgfollowingRR","user_status1","user_status2"
"58","0","1","0","0.568627","5","0.113725","0.0568627","0.113725","-1","-1"
"36823","0","1","0","12.5465","56","0.224045","0.112022","0.224045","-1","-1"
"428333","28","9","0.756757","6.33967","11","0.576334","0.666545","0.756757","1","1"
"612473","0","1","0","3.54133","10","0.354133","0.177067","0.354133","-1","-1"
"628043","0","1","0","0","0","0","0","0","-1","-1"
"628073","0","1","0","4.98809","10","0.498809","0.249405","0.498809","-1","-1"
"742143","8","13","0.380952","2.16038","5","0.432076","0.406514","0.380952","0","-1"
"755113","0","1","0","35.0638","114","0.307577","0.153789","0.307577","-1","-1"
"759251","7","9","0.4375","11.409","22","0.518591","0.478045","0.4375","0","-1"
"778057","0","1","0","28.4402","88","0.323184","0.161592","0.323184","-1","-1"
"788524","1","2","0.333333","22.6068","48","0.470975","0.402154","0.333333","0","-1"
"807095","5","3","0.625","3.83333","7","0.547619","0.586309","0.625","1","1"
"972651","11","7","0.611111","20.0008","49","0.40818","0.509645","0.611111","0","1"
"1140451","1","0","1","64.46","160","0.402875","0.701437","1","1","1"
"1344951","1","0","1","2","3","0.666667","0.833333","1","1","1"
"1367531","22","9","0.709677","7.69009","16","0.480631","0.595154","0.709677","1","1"
"1496971","1","0","1","15.8291","39","0.405874","0.702937","1","1","1"
"1652541","20","5","0.8","24.6764","48","0.514092","0.657046","0.8","1","1"
"1716581","8","13","0.380952","13.6216","47","0.289822","0.335387","0.380952","-1","-1"
"1877831","2","0","1","16.1661","37","0.436922","0.718461","1","1","1"
"1947301","0","3","0","64.2563","205","0.313445","0.156723","0.313445","-1","-1"
"2097571","15","8","0.652174","6.02759","15","0.401839","0.527007","0.652174","0","1"
"2467791","3","3","0.5","31.6746","67","0.472755","0.486378","0.5","0","-1"
"2557521","0","1","0","1.16667","6","0.194445","0.0972225","0.194445","-1","-1"
"2768501","14","10","0.583333","24.8993","54","0.461098","0.522216","0.583333","0","1"
"2836421","1","1","0.5","28.822","67","0.430179","0.46509","0.5","0","-1"
"2884771","2","4","0.333333","26.8808","62","0.433561","0.383447","0.333333","0","-1"
"3108351","11","12","0.478261","3.06863","9","0.340959","0.40961","0.478261","0","-1"
"3497941","2","0","1","63.1016","136","0.463982","0.731991","1","1","1"
"3684431","1","0","1","30.2048","78","0.387241","0.693621","1","1","1"
"4033561","1","0","1","20.6699","48","0.430623","0.715312","1","1","1"
"4207961","0","1","0","8.01667","36","0.222685","0.111343","0.222685","-1","-1"
