userid,rcount,nrcount,rumour_ratio,user_status
58,0,1,0,-1
36823,0,1,0,-1
428333,28,9,0.756757,1
612473,0,1,0,-1
628043,0,1,0,-1
628073,0,1,0,-1
742143,8,13,0.380952,0
755113,0,1,0,-1
759251,7,9,0.4375,0
778057,0,1,0,-1
788524,1,2,0.333333,0
807095,5,3,0.625,1
972651,11,7,0.611111,1
1140451,1,0,1,1
1344951,1,0,1,1
1367531,22,9,0.709677,1
1496971,1,0,1,1
1652541,20,5,0.8,1
1716581,8,13,0.380952,0
1877831,2,0,1,1
1947301,0,3,0,-1
2097571,15,8,0.652174,1
2467791,3,3,0.5,0
2557521,0,1,0,-1
2768501,14,10,0.583333,0
2836421,1,1,0.5,0
2884771,2,4,0.333333,0
3108351,11,12,0.478261,0
3497941,2,0,1,1
3684431,1,0,1,1
4033561,1,0,1,1
4207961,0,1,0,-1
4465521,0,1,0,-1
4970411,2,3,0.4,0
5392522,1,0,1,1
5402612,35,18,0.660377,1
5513002,1,8,0.111111,-1
5695632,1,0,1,1
5867842,1,0,1,1
5943072,4,5,0.444444,0
5971922,0,1,0,-1
5988062,0,2,0,-1
6017542,20,5,0.8,1
6038642,2,0,1,1
6039302,0,1,0,-1
6134882,0,1,0,-1
6246092,0,1,0,-1
6267962,0,1,0,-1
6273552,0,1,0,-1
6433472,12,7,0.631579,1
6482142,1,0,1,1
6591312,1,0,1,1
7197752,0,1,0,-1
7214972,1,0,1,1
7309052,4,0,1,1
7401202,0,1,0,-1
7587032,25,20,0.555556,0
7589572,0,1,0,-1
7607852,0,2,0,-1
7702542,0,1,0,-1
7744592,2,3,0.4,0
7768402,0,11,0,-1
8071902,0,2,0,-1
8170292,0,1,0,-1
8197942,1,1,0.5,0
8320162,0,1,0,-1
8330472,0,1,0,-1
8736882,19,7,0.730769,1
8839632,2,2,0.5,0
8973062,1,0,1,1
9235982,1,0,1,1
9295502,0,1,0,-1
9411482,0,1,0,-1
9507342,1,0,1,1
9517882,0,1,0,-1
9606552,1,0,1,1
9609632,7,3,0.7,1
9624742,0,1,0,-1
9648652,1,0,1,1
9763482,1,0,1,1
10168082,1,0,1,1
10252962,0,1,0,-1
10703412,0,1,0,-1
11265832,0,5,0,-1
11741632,0,1,0,-1
12004852,2,2,0.5,0
12442992,0,1,0,-1
12520212,1,0,1,1
12579352,1,1,0.5,0
12811952,0,1,0,-1
12848262,5,2,0.714286,1
12987202,0,1,0,-1
12993222,0,1,0,-1
13049362,2,1,0.666667,1
13393052,0,9,0,-1
13496142,0,1,0,-1
13557782,0,1,0,-1
13557972,1,1,0.5,0
13829772,0,1,0,-1
13896552,1,0,1,1
14090948,7,95,0.0686274,-1
14098166,0,1,0,-1
14138785,2,1,0.666667,1
14155907,2,2,0.5,0
14173315,15,11,0.576923,0
14200367,0,1,0,-1
14216661,1,6,0.142857,-1
14224719,0,1,0,-1
14260960,0,1,0,-1
14267557,0,3,0,-1
14289923,1,0,1,1
