"userid","rumour_ratio","sum_RR_following","following_count","avg_RR_following","avg_userRR_followingRR","userRR_OR_avgfollowingRR","user_status1","user_status2"
"58","0","0","0","0","0","0","-1","-1"
"36823","0","7.12433","35","0.203552","0.101776","0.203552","-1","-1"
"742143","0.322581","3.1383","8","0.392287","0.357434","0.322581","0","-1"
"755113","0","12.2274","49","0.24954","0.12477","0.24954","-1","-1"
"759251","0.333333","8.54991","22","0.388632","0.360983","0.333333","0","-1"
"972651","0.454545","15.8913","56","0.283773","0.369159","0.454545","0","-1"
"1367531","0.608696","7.95956","22","0.361798","0.485247","0.608696","0","-1"
"1496971","0","11.2527","34","0.330962","0.165481","0.330962","-1","-1"
"1716581","0","2.34244","15","0.156163","0.0780815","0.156163","-1","-1"
"1947301","0","34.001","131","0.25955","0.129775","0.25955","-1","-1"
"2097571","0.468085","4.74848","18","0.263804","0.365945","0.468085","0","-1"
"2836421","0","21.6631","62","0.349405","0.174702","0.349405","-1","-1"
"2884771","1","21.0934","66","0.319597","0.659799","1","1","1"
"3108351","0.416667","2.5","12","0.208333","0.3125","0.416667","-1","-1"
"3497941","0","41.1287","129","0.318827","0.159414","0.318827","-1","-1"
"4207961","0","2.40476","27","0.0890652","0.0445326","0.0890652","-1","-1"
"5513002","0","5.07581","27","0.187993","0.0939964","0.187993","-1","-1"
"5971922","0","0.5","2","0.25","0.125","0.25","-1","-1"
"5988062","0","10.3914","28","0.371121","0.185561","0.371121","-1","-1"
"6039302","0","0","0","0","0","0","-1","-1"
"6267962","0","6.07143","24","0.252976","0.126488","0.252976","-1","-1"
"6273552","0","38.9391","162","0.240365","0.120182","0.240365","-1","-1"
"6482142","0","15.353","48","0.319855","0.159928","0.319855","-1","-1"
"7214972","0","1.86667","16","0.116667","0.0583334","0.116667","-1","-1"
"7607852","0","3.75476","11","0.341342","0.170671","0.341342","-1","-1"
"7768402","0","37.8065","140","0.270047","0.135023","0.270047","-1","-1"
"8071902","0","45.8421","154","0.297676","0.148838","0.297676","-1","-1"
"8320162","0","2.15","5","0.43","0.215","0.43","-1","-1"
"9295502","0","8.52162","58","0.146924","0.0734622","0.146924","-1","-1"
"9411482","0","15.1672","48","0.315983","0.157992","0.315983","-1","-1"
"10168082","0","70.1301","261","0.268698","0.134349","0.268698","-1","-1"
"11265832","0","4.17438","14","0.29817","0.149085","0.29817","-1","-1"
