userid,rcount,nrcount,rumour_ratio,user_status
2426,0,1,0,NULL
4816,0,1,0,NULL
13374,0,1,0,NULL
428333,39,21,0.65,NULL
465973,0,2,0,NULL
612473,0,2,0,NULL
624413,0,1,0,NULL
628043,0,1,0,NULL
628073,0,1,0,NULL
645503,0,1,0,NULL
646483,0,1,0,NULL
742143,10,21,0.322581,NULL
759251,8,16,0.333333,NULL
778057,0,1,0,NULL
786764,0,2,0,NULL
788524,4,8,0.333333,NULL
806133,0,1,0,NULL
807095,9,22,0.290323,NULL
807242,0,1,0,NULL
820585,0,1,0,NULL
824157,0,1,0,NULL
972651,10,12,0.454545,NULL
1077971,0,1,0,NULL
1140451,1,0,1,NULL
1344951,1,1,0.5,NULL
1367531,28,18,0.608696,NULL
1652541,22,12,0.647059,NULL
1877831,2,5,0.285714,NULL
1994321,14,9,0.608696,NULL
2097571,22,25,0.468085,NULL
2195241,0,1,0,NULL
2467791,4,8,0.333333,NULL
2557521,0,1,0,NULL
2768501,15,11,0.576923,NULL
2884771,2,0,1,NULL
3108351,25,35,0.416667,NULL
3684431,1,0,1,NULL
3806691,1,0,1,NULL
4033561,1,0,1,NULL
4126501,0,1,0,NULL
4465521,0,1,0,NULL
4970411,4,6,0.4,NULL
5392522,1,0,1,NULL
5402612,60,34,0.638298,NULL
5695632,1,2,0.333333,NULL
5698002,0,1,0,NULL
5858532,0,1,0,NULL
5867842,1,1,0.5,NULL
5943072,4,5,0.444444,NULL
5971922,0,1,0,NULL
5988062,0,2,0,NULL
6017542,28,12,0.7,NULL
6038642,2,0,1,NULL
6107422,0,3,0,NULL
6134882,0,1,0,NULL
6160792,0,1,0,NULL
6246092,0,1,0,NULL
6361512,0,1,0,NULL
6433472,12,7,0.631579,NULL
6473022,0,3,0,NULL
6591312,3,0,1,NULL
6705042,0,1,0,NULL
7197752,0,1,0,NULL
7309052,4,1,0.8,NULL
7401202,0,1,0,NULL
7587032,47,42,0.52809,NULL
7589572,1,4,0.2,NULL
7702542,0,5,0,NULL
7744592,2,6,0.25,NULL
7779462,0,1,0,NULL
7874982,0,1,0,NULL
7993262,0,1,0,NULL
8161232,0,1,0,NULL
8170292,0,1,0,NULL
8197942,1,1,0.5,NULL
8330472,0,1,0,NULL
8350912,2,1,0.666667,NULL
8475532,1,0,1,NULL
8547752,0,1,0,NULL
8736882,19,7,0.730769,NULL
8839632,2,2,0.5,NULL
8973062,1,0,1,NULL
9207632,0,1,0,NULL
9235982,1,0,1,NULL
9487272,0,1,0,NULL
9507342,2,1,0.666667,NULL
9517882,0,1,0,NULL
9606552,1,0,1,NULL
9609632,7,3,0.7,NULL
9624742,0,1,0,NULL
9648652,1,0,1,NULL
9651232,3,1,0.75,NULL
9763482,1,0,1,NULL
9890492,0,1,0,NULL
10102272,0,1,0,NULL
10252962,0,1,0,NULL
10313752,0,1,0,NULL
10703412,0,1,0,NULL
10876852,0,1,0,NULL
11018152,0,1,0,NULL
11203972,0,1,0,NULL
11345012,0,1,0,NULL
11741632,0,1,0,NULL
11793022,0,1,0,NULL
12716032,0,1,0,NULL
12848262,5,2,0.714286,NULL
12858902,0,1,0,NULL
12987202,0,1,0,NULL
12993222,0,1,0,NULL
13049362,1,0,1,NULL
13493302,0,1,0,NULL
13496142,0,3,0,NULL
13753642,0,1,0,NULL
13896552,1,0,1,NULL
14082466,0,1,0,NULL
14085040,0,1,0,NULL
14095052,0,3,0,NULL
14098166,0,1,0,NULL
14123751,0,1,0,NULL
14138785,7,6,0.538462,NULL
14159148,0,1,0,NULL
14173315,19,17,0.527778,NULL
14200367,0,1,0,NULL
14216661,1,6,0.142857,NULL
14224719,0,1,0,NULL
14231313,0,1,0,NULL
14260960,0,2,0,NULL
14264854,0,1,0,NULL
14275129,0,1,0,NULL
14287669,0,1,0,NULL
14291684,0,1,0,NULL
14293310,5,11,0.3125,NULL
14316371,0,1,0,NULL
14353202,0,1,0,NULL
14372486,0,1,0,NULL
14401607,1,1,0.5,NULL
14413869,0,1,0,NULL
14437914,0,1,0,NULL
14460241,2,1,0.666667,NULL
14465607,0,1,0,NULL
14485018,0,1,0,NULL
14498713,0,2,0,NULL
14503124,0,1,0,NULL
14511951,3,5,0.375,NULL
14515799,1,1,0.5,NULL
14521106,0,1,0,NULL
14569869,5,1,0.833333,NULL
14584903,0,1,0,NULL
14588748,0,1,0,NULL
14588798,1,0,1,NULL
14599545,1,0,1,NULL
14606079,0,1,0,NULL
14677919,0,2,0,NULL
14678279,1,0,1,NULL
14681605,1,0,1,NULL
14697575,0,1,0,NULL
14700117,0,1,0,NULL
14700316,0,1,0,NULL
14717197,0,1,0,NULL
14722676,0,1,0,NULL
14765253,0,1,0,NULL
14788739,0,1,0,NULL
14831475,0,1,0,NULL
14888597,0,1,0,NULL
14892330,0,1,0,NULL
14892665,0,1,0,NULL
14940354,4,3,0.571429,NULL
15012486,6,4,0.6,NULL
15020865,0,1,0,NULL
15028398,0,1,0,NULL
15037033,1,0,1,NULL
15070269,1,0,1,NULL
15084853,0,1,0,NULL
15108702,3,8,0.272727,NULL
15143478,0,2,0,NULL
15157939,0,1,0,NULL
15164565,1,5,0.166667,NULL
15170194,0,1,0,NULL
