"userid","rcount","nrcount","rumour_ratio","sum_RR_following","following_count","avg_RR_following","avg_userRR_followingRR","userRR_OR_avgfollowingRR","user_status1","user_status2"
"2426","0","1","0","2.03333","10","0.203333","0.101666","0.203333","-1","-1"
"4816","0","1","0","1.33333","13","0.102564","0.0512819","0.102564","-1","-1"
"13374","0","1","0","15.5985","58","0.26894","0.13447","0.26894","-1","-1"
"428333","39","21","0.65","4.55142","12","0.379285","0.514643","0.65","0","1"
"465973","0","2","0","0","4","0","0","0","-1","-1"
"612473","0","2","0","5.22755","14","0.373396","0.186698","0.373396","-1","-1"
"624413","0","1","0","1.41667","2","0.708333","0.354167","0.708333","0","-1"
"628043","0","1","0","0","0","0","0","0","-1","-1"
"628073","0","1","0","5.23168","15","0.348779","0.174389","0.348779","-1","-1"
"645503","0","1","0","3.98497","37","0.107702","0.0538509","0.107702","-1","-1"
"646483","0","1","0","0","2","0","0","0","-1","-1"
"742143","10","21","0.322581","3.1383","8","0.392287","0.357434","0.322581","0","-1"
"759251","8","16","0.333333","8.54991","22","0.388632","0.360983","0.333333","0","-1"
"778057","0","1","0","31.6754","118","0.268436","0.134218","0.268436","-1","-1"
"786764","0","2","0","26.9967","108","0.249969","0.124985","0.249969","-1","-1"
"788524","4","8","0.333333","19.8604","85","0.233652","0.283492","0.333333","-1","-1"
"806133","0","1","0","5.76373","26","0.221682","0.110841","0.221682","-1","-1"
"807095","9","22","0.290323","4.11904","13","0.316849","0.303586","0.290323","-1","-1"
"807242","0","1","0","1","4","0.25","0.125","0.25","-1","-1"
"820585","0","1","0","34.441","144","0.239174","0.119587","0.239174","-1","-1"
"824157","0","1","0","9.7381","52","0.187271","0.0936356","0.187271","-1","-1"
"972651","10","12","0.454545","15.8913","56","0.283773","0.369159","0.454545","0","-1"
"1077971","0","1","0","3.49621","29","0.120559","0.0602794","0.120559","-1","-1"
"1140451","1","0","1","58.6767","193","0.304025","0.652012","1","1","1"
"1344951","1","1","0.5","1","6","0.166667","0.333333","0.5","-1","-1"
"1367531","28","18","0.608696","7.95956","22","0.361798","0.485247","0.608696","0","-1"
"1652541","22","12","0.647059","20.7258","54","0.383811","0.515435","0.647059","0","1"
"1877831","2","5","0.285714","18.131","48","0.377729","0.331722","0.285714","-1","-1"
"1994321","14","9","0.608696","5.36111","9","0.595679","0.602187","0.608696","1","1"
"2097571","22","25","0.468085","4.74848","18","0.263804","0.365945","0.468085","0","-1"
"2195241","0","1","0","13.8773","58","0.239265","0.119632","0.239265","-1","-1"
"2467791","4","8","0.333333","24.7223","73","0.338662","0.335998","0.333333","-1","-1"
"2557521","0","1","0","1.16667","6","0.194445","0.0972225","0.194445","-1","-1"
"2768501","15","11","0.576923","24.4907","65","0.37678","0.476852","0.576923","0","-1"
"2884771","2","0","1","21.0934","66","0.319597","0.659799","1","1","1"
"3108351","25","35","0.416667","2.5","12","0.208333","0.3125","0.416667","-1","-1"
"3684431","1","0","1","29.1937","105","0.278036","0.639018","1","1","1"
"3806691","1","0","1","0","0","0","0.5","1","0","1"
"4033561","1","0","1","20.1916","57","0.354239","0.67712","1","1","1"
"4126501","0","1","0","9.58592","46","0.20839","0.104195","0.20839","-1","-1"
"4465521","0","1","0","8.88908","26","0.341888","0.170944","0.341888","-1","-1"
"4970411","4","6","0.4","0.461538","2","0.230769","0.315385","0.4","-1","-1"
"5392522","1","0","1","8.04643","33","0.243831","0.621916","1","1","1"
