userid,rcount,nrcount,rumour_ratio,user_status
2426,0,1,0,-1
4816,0,1,0,-1
13374,0,1,0,-1
428333,39,21,0.65,1
465973,0,2,0,-1
612473,0,2,0,-1
624413,0,1,0,-1
628043,0,1,0,-1
628073,0,1,0,-1
645503,0,1,0,-1
646483,0,1,0,-1
742143,10,21,0.322581,0
759251,8,16,0.333333,0
778057,0,1,0,-1
786764,0,2,0,-1
788524,4,8,0.333333,0
806133,0,1,0,-1
807095,9,22,0.290323,-1
807242,0,1,0,-1
820585,0,1,0,-1
824157,0,1,0,-1
972651,10,12,0.454545,0
1077971,0,1,0,-1
1140451,1,0,1,1
1344951,1,1,0.5,0
1367531,28,18,0.608696,1
1652541,22,12,0.647059,1
1877831,2,5,0.285714,-1
1994321,14,9,0.608696,1
2097571,22,25,0.468085,0
2195241,0,1,0,-1
2467791,4,8,0.333333,0
2557521,0,1,0,-1
2768501,15,11,0.576923,0
2884771,2,0,1,1
3108351,25,35,0.416667,0
3684431,1,0,1,1
3806691,1,0,1,1
4033561,1,0,1,1
4126501,0,1,0,-1
4465521,0,1,0,-1
4970411,4,6,0.4,0
5392522,1,0,1,1
5402612,60,34,0.638298,1
5695632,1,2,0.333333,0
5698002,0,1,0,-1
5858532,0,1,0,-1
5867842,1,1,0.5,0
5943072,4,5,0.444444,0
5971922,0,1,0,-1
5988062,0,2,0,-1
6017542,28,12,0.7,1
6038642,2,0,1,1
6107422,0,3,0,-1
6134882,0,1,0,-1
6160792,0,1,0,-1
6246092,0,1,0,-1
6361512,0,1,0,-1
6433472,12,7,0.631579,1
6473022,0,3,0,-1
6591312,3,0,1,1
6705042,0,1,0,-1
7197752,0,1,0,-1
7309052,4,1,0.8,1
7401202,0,1,0,-1
7587032,47,42,0.52809,0
7589572,1,4,0.2,-1
7702542,0,5,0,-1
7744592,2,6,0.25,-1
7779462,0,1,0,-1
7874982,0,1,0,-1
7993262,0,1,0,-1
8161232,0,1,0,-1
8170292,0,1,0,-1
8197942,1,1,0.5,0
8330472,0,1,0,-1
8350912,2,1,0.666667,1
8475532,1,0,1,1
8547752,0,1,0,-1
8736882,19,7,0.730769,1
8839632,2,2,0.5,0
8973062,1,0,1,1
9207632,0,1,0,-1
9235982,1,0,1,1
9487272,0,1,0,-1
9507342,2,1,0.666667,1
9517882,0,1,0,-1
9606552,1,0,1,1
9609632,7,3,0.7,1
9624742,0,1,0,-1
9648652,1,0,1,1
9651232,3,1,0.75,1
9763482,1,0,1,1
9890492,0,1,0,-1
10102272,0,1,0,-1
10252962,0,1,0,-1
10313752,0,1,0,-1
10703412,0,1,0,-1
10876852,0,1,0,-1
11018152,0,1,0,-1
11203972,0,1,0,-1
11345012,0,1,0,-1
11741632,0,1,0,-1
11793022,0,1,0,-1
12716032,0,1,0,-1
12848262,5,2,0.714286,1
12858902,0,1,0,-1
12987202,0,1,0,-1
12993222,0,1,0,-1
13049362,1,0,1,1
13493302,0,1,0,-1
13496142,0,3,0,-1
13753642,0,1,0,-1
13896552,1,0,1,1
14082466,0,1,0,-1
14085040,0,1,0,-1
14095052,0,3,0,-1
14098166,0,1,0,-1
14123751,0,1,0,-1
14138785,7,6,0.538462,0
14159148,0,1,0,-1
14173315,19,17,0.527778,0
14200367,0,1,0,-1
14216661,1,6,0.142857,-1
14224719,0,1,0,-1
14231313,0,1,0,-1
14260960,0,2,0,-1
14264854,0,1,0,-1
14275129,0,1,0,-1
14287669,0,1,0,-1
14291684,0,1,0,-1
14293310,5,11,0.3125,0
14316371,0,1,0,-1
14353202,0,1,0,-1
14372486,0,1,0,-1
14401607,1,1,0.5,0
14413869,0,1,0,-1
14437914,0,1,0,-1
14460241,2,1,0.666667,1
14465607,0,1,0,-1
14485018,0,1,0,-1
14498713,0,2,0,-1
14503124,0,1,0,-1
14511951,3,5,0.375,0
14515799,1,1,0.5,0
14521106,0,1,0,-1
14569869,5,1,0.833333,1
14584903,0,1,0,-1
14588748,0,1,0,-1
14588798,1,0,1,1
14599545,1,0,1,1
14606079,0,1,0,-1
14677919,0,2,0,-1
14678279,1,0,1,1
14681605,1,0,1,1
14697575,0,1,0,-1
14700117,0,1,0,-1
14700316,0,1,0,-1
14717197,0,1,0,-1
14722676,0,1,0,-1
14765253,0,1,0,-1
14788739,0,1,0,-1
14831475,0,1,0,-1
14888597,0,1,0,-1
14892330,0,1,0,-1
14892665,0,1,0,-1
14940354,4,3,0.571429,0
15012486,6,4,0.6,1
15020865,0,1,0,-1
15028398,0,1,0,-1
15037033,1,0,1,1
15070269,1,0,1,1
15084853,0,1,0,-1
15108702,3,8,0.272727,-1
15143478,0,2,0,-1
15157939,0,1,0,-1
15164565,1,5,0.166667,-1
15170194,0,1,0,-1
15179672,0,1,0,-1
15220768,1,0,1,1
15224867,0,2,0,-1
15232098,0,2,0,-1
15234407,0,1,0,-1
15234546,2,1,0.666667,1
15235811,0,1,0,-1
15250661,4,4,0.5,0
15256225,1,1,0.5,0
15279429,0,1,0,-1
15319103,0,1,0,-1
15348883,0,1,0,-1
15361389,0,1,0,-1
15374755,0,1,0,-1
15384969,0,1,0,-1
15400294,2,0,1,1
15438913,10,17,0.37037,0
15439395,0,5,0,-1
15486071,0,1,0,-1
15513604,1,3,0.25,-1
15557246,0,1,0,-1
15586316,0,1,0,-1
15598781,0,1,0,-1
15638836,0,1,0,-1
15644999,0,1,0,-1
15669672,2,0,1,1
15754281,9,8,0.529412,0
15798091,0,1,0,-1
15907183,0,3,0,-1
15942075,1,0,1,1
15956067,0,1,0,-1
15966995,3,2,0.6,1
15994109,2,0,1,1
15995155,0,1,0,-1
15996661,0,1,0,-1
16012783,4,5,0.444444,0
16019070,1,0,1,1
16029780,0,1,0,-1
16031927,1,2,0.333333,0
16076032,0,2,0,-1
16077204,0,1,0,-1
16080866,0,1,0,-1
16096416,0,1,0,-1
16106522,0,1,0,-1
16106584,0,2,0,-1
16153562,0,2,0,-1
16164636,0,1,0,-1
16170253,0,1,0,-1
16183458,1,0,1,1
16184358,0,2,0,-1
16198940,0,4,0,-1
16211566,1,1,0.5,0
16215478,1,3,0.25,-1
16220555,2,1,0.666667,1
16249591,0,1,0,-1
16299754,1,0,1,1
16305558,0,1,0,-1
16307818,1,0,1,1
16311797,0,1,0,-1
16313405,1,0,1,1
16330790,0,1,0,-1
16338550,0,1,0,-1
16343974,13,22,0.371429,0
16395449,0,1,0,-1
16416978,0,1,0,-1
16444025,0,1,0,-1
16469809,0,3,0,-1
16513349,1,0,1,1
16525194,1,2,0.333333,0
16534576,1,0,1,1
16552689,0,1,0,-1
16560657,0,1,0,-1
16567644,1,1,0.5,0
16589206,3,6,0.333333,0
16591979,1,0,1,1
16664681,1,1,0.5,0
16671007,1,1,0.5,0
16672510,0,2,0,-1
16675569,9,10,0.473684,0
16681111,0,1,0,-1
16683666,0,1,0,-1
16705804,0,1,0,-1
16721461,0,1,0,-1
16725276,0,1,0,-1
16734909,0,1,0,-1
16745015,0,1,0,-1
16753407,1,0,1,1
16807528,0,2,0,-1
16811829,0,1,0,-1
16827148,0,2,0,-1
16832632,0,1,0,-1
16834659,19,2,0.904762,1
16887175,5,3,0.625,1
16887934,0,1,0,-1
16900353,0,1,0,-1
16930489,1,1,0.5,0
16931360,0,1,0,-1
16955991,0,2,0,-1
16957390,0,1,0,-1
16973333,21,57,0.269231,-1
16992416,0,2,0,-1
17001435,0,1,0,-1
17001490,0,1,0,-1
17004618,2,0,1,1
17027378,0,1,0,-1
17029979,0,1,0,-1
17045133,1,0,1,1
17060020,0,1,0,-1
17093604,1,0,1,1
17134268,0,2,0,-1
17152053,2,4,0.333333,0
17175213,0,1,0,-1
17316885,0,1,0,-1
17350250,0,1,0,-1
17354377,0,1,0,-1
17374906,0,1,0,-1
17383707,0,1,0,-1
17387561,0,1,0,-1
17441447,0,1,0,-1
17442320,0,1,0,-1
17463660,0,1,0,-1
17469289,3,3,0.5,0
17525171,0,2,0,-1
17527559,0,1,0,-1
17537467,1,11,0.0833333,-1
17561562,3,0,1,1
17641218,0,1,0,-1
17659340,1,0,1,1
17668544,0,1,0,-1
17672825,0,3,0,-1
17679977,0,1,0,-1
17693277,0,1,0,-1
17735875,0,1,0,-1
17740486,1,0,1,1
17741799,0,1,0,-1
17765045,0,1,0,-1
17782313,0,1,0,-1
17820367,1,0,1,1
17895820,1,0,1,1
17897698,0,1,0,-1
17919393,2,0,1,1
17945263,0,1,0,-1
17983365,1,2,0.333333,0
17984709,0,1,0,-1
17990493,1,0,1,1
17994522,0,1,0,-1
17995040,0,8,0,-1
18018877,0,1,0,-1
18021754,0,1,0,-1
18040230,1,1,0.5,0
18060885,1,0,1,1
18101696,0,1,0,-1
18119570,1,0,1,1
18144581,0,1,0,-1
18145829,0,1,0,-1
18206318,1,0,1,1
18207168,1,0,1,1
18213483,0,1,0,-1
18217574,1,0,1,1
18277355,1,1,0.5,0
18278257,0,1,0,-1
18309277,0,1,0,-1
18424289,6,7,0.461538,0
18435601,0,1,0,-1
18441335,0,1,0,-1
18479513,0,1,0,-1
18510860,1,2,0.333333,0
18553134,1,0,1,1
18576537,0,1,0,-1
18622869,0,2,0,-1
18628451,0,2,0,-1
18638090,0,2,0,-1
18643437,1,2,0.333333,0
18650093,0,3,0,-1
18655567,0,1,0,-1
18668407,0,1,0,-1
18696855,0,2,0,-1
18711754,2,0,1,1
18725815,0,13,0,-1
18734884,0,1,0,-1
18839785,0,3,0,-1
18909186,0,1,0,-1
18965790,0,2,0,-1
18965916,1,1,0.5,0
18980276,0,1,0,-1
18991263,0,1,0,-1
18999969,20,10,0.666667,1
19000033,1,1,0.5,0
19013887,0,1,0,-1
19017675,0,3,0,-1
19038934,37,7,0.840909,1
19041310,0,1,0,-1
19057300,0,1,0,-1
19062754,0,1,0,-1
19077044,0,1,0,-1
19114232,0,1,0,-1
19140457,0,1,0,-1
19150955,0,1,0,-1
19178965,0,1,0,-1
19211550,1,0,1,1
19222164,0,2,0,-1
19240337,0,1,0,-1
19292807,0,1,0,-1
19317766,0,3,0,-1
19318739,1,0,1,1
19341389,0,2,0,-1
19346439,0,3,0,-1
19348870,0,1,0,-1
19379616,0,1,0,-1
19391273,0,1,0,-1
19530437,0,1,0,-1
19533817,0,1,0,-1
19534873,0,1,0,-1
19630451,0,1,0,-1
19636948,21,8,0.724138,1
19662223,1,0,1,1
19673276,0,1,0,-1
19706851,0,2,0,-1
19737638,0,1,0,-1
19796721,0,1,0,-1
19806962,0,1,0,-1
19814041,0,1,0,-1
19835035,0,1,0,-1
19865053,0,1,0,-1
