"userid","rumour_ratio","sum_RR_following","following_count","avg_RR_following","avg_userRR_followingRR","userRR_OR_avgfollowingRR","user_status1","user_status2"
"428333","0.649123","3.33333","12","0.277777","0.46345","0.649123","0","-1"
"742143","0.333333","2.66265","7","0.380379","0.356856","0.333333","0","-1"
"759251","0.380952","8.1015","23","0.352239","0.366596","0.380952","0","-1"
"788524","0.363636","18.1279","86","0.21079","0.287213","0.363636","-1","-1"
"807095","0.3","3.45237","13","0.265567","0.282783","0.3","-1","-1"
"972651","0.52","15.9506","64","0.249228","0.384614","0.52","0","-1"
"1344951","0","1.5","6","0.25","0.125","0.25","-1","-1"
"1367531","0.636364","6.34712","22","0.288505","0.462435","0.636364","0","-1"
"1652541","0.633333","19.203","53","0.362321","0.497827","0.633333","0","-1"
"2097571","0.452381","5.39371","19","0.283879","0.36813","0.452381","0","-1"
"2768501","0.541667","22.9413","64","0.358458","0.450062","0.541667","0","-1"
"2884771","0.2","21.359","77","0.27739","0.238695","0.2","-1","-1"
"3108351","0.413793","2.06863","14","0.147759","0.280776","0.413793","-1","-1"
"4970411","0.5","0.5","3","0.166667","0.333333","0.5","-1","-1"
"5392522","0","9.24643","45","0.205476","0.102738","0.205476","-1","-1"
"5402612","0.662651","0.333333","2","0.166666","0.414659","0.662651","0","-1"
"5867842","0","15.8644","63","0.251815","0.125908","0.251815","-1","-1"
"5943072","0","0.694444","2","0.347222","0.173611","0.347222","-1","-1"
"6017542","0.694444","43.897","102","0.430363","0.562403","0.694444","1","1"
"6134882","0","6.28047","38","0.165276","0.0826378","0.165276","-1","-1"
"6591312","1","56.3676","182","0.309712","0.654856","1","1","1"
"7197752","0","2.96788","12","0.247323","0.123662","0.247323","-1","-1"
"7309052","0.5","46.3674","158","0.293465","0.396732","0.5","0","-1"
"7587032","0.56","0.828571","1","0.828571","0.694286","0.56","1","1"
"7744592","0","25.4908","79","0.322668","0.161334","0.322668","-1","-1"
"8330472","0","0","0","0","0","0","-1","-1"
"8973062","0","0","0","0","0","0","-1","-1"
"9648652","0","13.8947","40","0.347367","0.173684","0.347367","-1","-1"
"9763482","0","27.3152","78","0.350195","0.175097","0.350195","-1","-1"
"12848262","0.8","9.08221","22","0.412828","0.606414","0.8","1","1"
"14173315","0.583333","15.8096","47","0.336374","0.459854","0.583333","0","-1"
"14293310","0.333333","11.6822","46","0.253961","0.293647","0.333333","-1","-1"
"14437914","0","42.5681","183","0.232613","0.116306","0.232613","-1","-1"
"14511951","0.375","50.7154","184","0.275627","0.325314","0.375","-1","-1"
"14569869","0.8","27.4187","114","0.240515","0.520257","0.8","0","1"
"14677919","0","10.8474","36","0.301317","0.150658","0.301317","-1","-1"
"14892330","0","18.035","60","0.300583","0.150292","0.300583","-1","-1"
"14940354","0.375","43.8219","139","0.315265","0.345133","0.375","-1","-1"
"15037033","0","11.9895","56","0.214098","0.107049","0.214098","-1","-1"
"15108702","0.25","9.47926","19","0.498908","0.374454","0.25","0","-1"
"15164565","0.142857","14.3182","51","0.280748","0.211803","0.142857","-1","-1"
"15234546","0","18.0476","54","0.334215","0.167107","0.334215","-1","-1"
"15438913","0.375","13.77","35","0.393429","0.384214","0.375","0","-1"
"15513604","0","10.9187","57","0.191556","0.0957781","0.191556","-1","-1"
"15754281","0.444444","17.7539","49","0.362325","0.403384","0.444444","0","-1"
"15942075","0","0.2","11","0.0181818","0.00909091","0.0181818","-1","-1"
"16211566","1","5.10334","28","0.182262","0.591131","1","1","1"
"16343974","0.419355","6.59477","16","0.412173","0.415764","0.419355","0","-1"
"16444025","0","1.06863","12","0.0890525","0.0445262","0.0890525","-1","-1"
"16469809","0","17.0153","73","0.233086","0.116543","0.233086","-1","-1"
"16664681","1","39.2368","136","0.288506","0.644253","1","1","1"
"16834659","0.894737","35.81","104","0.344327","0.619532","0.894737","1","1"
"16887175","0.25","17.8799","77","0.232206","0.241103","0.25","-1","-1"
"16973333","0.268657","6.03446","42","0.143678","0.206167","0.268657","-1","-1"
"17134268","0","15.5355","45","0.345233","0.172617","0.345233","-1","-1"
"17469289","0.5","32.1176","93","0.345351","0.422675","0.5","0","-1"
"17561562","0","11.4046","29","0.39326","0.19663","0.39326","-1","-1"
"17740486","0","3.08","19","0.162105","0.0810526","0.162105","-1","-1"
"17895820","0","0.5","17","0.0294118","0.0147059","0.0294118","-1","-1"
"17990493","0","15.3776","47","0.327183","0.163591","0.327183","-1","-1"
"18040230","0","1","1","1","0.5","1","0","1"
"18119570","0","0","1","0","0","0","-1","-1"
"18424289","0.5","0.5","6","0.0833333","0.291667","0.5","-1","-1"
"18839785","0","7.18589","46","0.156215","0.0781075","0.156215","-1","-1"
"18909186","0","0","0","0","0","0","-1","-1"
"19211550","0","18.9151","72","0.26271","0.131355","0.26271","-1","-1"
"19706851","0","21.2301","72","0.294863","0.147431","0.294863","-1","-1"
"20399735","0","2.37645","12","0.198038","0.0990188","0.198038","-1","-1"
"20494730","0","14.2697","48","0.297285","0.148642","0.297285","-1","-1"
"20562637","0","1.25","2","0.625","0.3125","0.625","-1","-1"
"20639175","0.6","14.3242","62","0.231036","0.415518","0.6","0","-1"
"21123640","0","22.8788","69","0.331577","0.165788","0.331577","-1","-1"
"21133007","0","4.41912","14","0.315651","0.157826","0.315651","-1","-1"
"21401523","0","4.03173","12","0.335977","0.167989","0.335977","-1","-1"
"21764143","0","0","1","0","0","0","-1","-1"
"21851493","0","9.06216","21","0.431531","0.215766","0.431531","-1","-1"
"21866939","0.5","25.7254","88","0.292334","0.396167","0.5","0","-1"
"22240612","0.5","0","1","0","0.25","0.5","-1","-1"
"22594051","1","5.95137","10","0.595137","0.797569","1","1","1"
"22650211","0.5","4.12","21","0.19619","0.348095","0.5","-1","-1"
"22799750","0","13.5739","37","0.366862","0.183431","0.366862","-1","-1"
"22993014","0.909091","35.7381","80","0.446726","0.677909","0.909091","1","1"
"24165761","0.26087","6.01482","19","0.316569","0.28872","0.26087","-1","-1"
"24293233","0","21.8321","75","0.291095","0.145548","0.291095","-1","-1"
"25049056","0.857143","7.90433","26","0.304013","0.580578","0.857143","1","1"
"25067168","0.666667","14.4398","46","0.313908","0.490287","0.666667","0","-1"
"25360913","0","0","2","0","0","0","-1","-1"
"25777812","0.857143","8.10442","24","0.337684","0.597414","0.857143","1","1"
"25979970","0","20.97","73","0.28726","0.14363","0.28726","-1","-1"
"26223583","0","0","2","0","0","0","-1","-1"
"26282046","0","5.78007","22","0.26273","0.131365","0.26273","-1","-1"
"26574283","0","1.77777","4","0.444443","0.222221","0.444443","-1","-1"
"26729931","0","0","0","0","0","0","-1","-1"
"26738483","0","19.0866","85","0.224548","0.112274","0.224548","-1","-1"
"26900055","0","14.9717","82","0.182582","0.0912909","0.182582","-1","-1"
"27067896","0","5.93803","16","0.371127","0.185563","0.371127","-1","-1"
"27457454","0","42.776","155","0.275974","0.137987","0.275974","-1","-1"
"27754737","0","34.9391","137","0.25503","0.127515","0.25503","-1","-1"
"28139873","0","5.66379","24","0.235991","0.117996","0.235991","-1","-1"
"28785486","0.6","11.8467","34","0.348432","0.474216","0.6","0","-1"
"29904219","0","37.8128","131","0.288647","0.144324","0.288647","-1","-1"
"30122242","0","51.1234","231","0.221313","0.110657","0.221313","-1","-1"
"30447805","0","1.98245","14","0.141604","0.0708018","0.141604","-1","-1"
"31917160","0","0.52","4","0.13","0.065","0.13","-1","-1"
"34262462","1","8.29763","20","0.414882","0.707441","1","1","1"
"36116351","0","4.52628","25","0.181051","0.0905256","0.181051","-1","-1"
"37459590","0","9.05476","18","0.503042","0.251521","0.503042","-1","-1"
"38400130","0.333333","9.09412","24","0.378922","0.356127","0.333333","0","-1"
"44728980","0","26.7554","58","0.4613","0.23065","0.4613","-1","-1"
"45169955","0","1.14912","2","0.574561","0.287281","0.574561","-1","-1"
"48926467","0","4.84574","19","0.255039","0.127519","0.255039","-1","-1"
"51008528","0","2.38857","6","0.398095","0.199048","0.398095","-1","-1"
"51241574","0.666667","3.98369","14","0.284549","0.475608","0.666667","0","-1"
"51381252","0","11.498","30","0.383266","0.191633","0.383266","-1","-1"
