userid,rcount,nrcount,rumour_ratio,user_status
58,0,1,0,NULL
2426,0,1,0,NULL
4816,0,1,0,NULL
13374,0,1,0,NULL
36823,0,1,0,NULL
428333,37,20,0.649123,NULL
465973,0,2,0,NULL
612473,0,2,0,NULL
624413,0,1,0,NULL
628043,0,1,0,NULL
628073,0,1,0,NULL
645503,0,1,0,NULL
646483,0,1,0,NULL
742143,10,20,0.333333,NULL
755113,0,1,0,NULL
759251,8,13,0.380952,NULL
778057,0,1,0,NULL
786764,0,2,0,NULL
788524,4,7,0.363636,NULL
806133,0,1,0,NULL
807095,9,21,0.3,NULL
807242,0,1,0,NULL
820585,0,1,0,NULL
824157,0,1,0,NULL
972651,13,12,0.52,NULL
1077971,0,1,0,NULL
1140451,1,0,1,NULL
1344951,0,1,0,NULL
1367531,28,16,0.636364,NULL
1496971,1,0,1,NULL
1652541,19,11,0.633333,NULL
1716581,8,13,0.380952,NULL
1877831,2,5,0.285714,NULL
1947301,0,3,0,NULL
1994321,14,9,0.608696,NULL
2097571,19,23,0.452381,NULL
2195241,0,1,0,NULL
2467791,4,8,0.333333,NULL
2557521,0,1,0,NULL
2768501,13,11,0.541667,NULL
2836421,1,1,0.5,NULL
2884771,1,4,0.2,NULL
3108351,24,34,0.413793,NULL
3497941,2,0,1,NULL
3684431,1,0,1,NULL
3806691,1,0,1,NULL
4033561,1,0,1,NULL
4126501,0,1,0,NULL
4207961,0,1,0,NULL
4465521,0,1,0,NULL
4970411,4,4,0.5,NULL
5402612,55,28,0.662651,NULL
5513002,1,8,0.111111,NULL
5695632,1,2,0.333333,NULL
5698002,0,1,0,NULL
5858532,0,1,0,NULL
5867842,0,1,0,NULL
5971922,0,2,0,NULL
5988062,0,3,0,NULL
6017542,25,11,0.694444,NULL
6038642,2,0,1,NULL
6039302,0,1,0,NULL
6107422,0,3,0,NULL
6160792,0,1,0,NULL
6246092,0,1,0,NULL
6267962,0,1,0,NULL
6273552,0,1,0,NULL
6361512,0,1,0,NULL
6433472,12,7,0.631579,NULL
6473022,0,3,0,NULL
6482142,1,0,1,NULL
6591312,2,0,1,NULL
6705042,0,1,0,NULL
7214972,1,0,1,NULL
7309052,1,1,0.5,NULL
7401202,0,1,0,NULL
7587032,42,33,0.56,NULL
7589572,1,4,0.2,NULL
7607852,0,2,0,NULL
7702542,0,5,0,NULL
7744592,0,5,0,NULL
7768402,0,11,0,NULL
7779462,0,1,0,NULL
7874982,0,1,0,NULL
7993262,0,1,0,NULL
8071902,0,2,0,NULL
8161232,0,1,0,NULL
8170292,0,1,0,NULL
8197942,1,1,0.5,NULL
8320162,0,1,0,NULL
8350912,2,1,0.666667,NULL
8475532,1,0,1,NULL
8547752,0,1,0,NULL
8736882,19,7,0.730769,NULL
8839632,2,2,0.5,NULL
9207632,0,1,0,NULL
9235982,1,0,1,NULL
9295502,0,1,0,NULL
9411482,0,1,0,NULL
9487272,0,1,0,NULL
9507342,2,1,0.666667,NULL
9517882,0,1,0,NULL
9606552,1,0,1,NULL
9609632,7,3,0.7,NULL
9624742,0,1,0,NULL
9651232,3,1,0.75,NULL
9890492,0,1,0,NULL
10102272,0,1,0,NULL
10168082,1,0,1,NULL
