"userid","rcount","nrcount","rumour_ratio","sum_RR_following","following_count","avg_RR_following","avg_userRR_followingRR","userRR_OR_avgfollowingRR","user_status1","user_status2"
"0","0","0","0","0","0","0","0","0","-1","-1"
"58","0","1","0","0.568627","5","0.113725","0.0568627","0.113725","-1","-1"
"2426","0","1","0","4.52778","15","0.301852","0.150926","0.301852","-1","-1"
"4816","0","1","0","2.13","24","0.08875","0.044375","0.08875","-1","-1"
"13374","0","1","0","16.3526","72","0.227119","0.11356","0.227119","-1","-1"
"36823","0","1","0","12.108","68","0.178059","0.0890294","0.178059","-1","-1"
"428333","37","20","0.649123","3.33333","12","0.277777","0.46345","0.649123","0","-1"
"465973","0","2","0","0","4","0","0","0","-1","-1"
"612473","0","2","0","4.76265","12","0.396888","0.198444","0.396888","-1","-1"
"624413","0","1","0","1.41379","2","0.706896","0.353448","0.706896","0","-1"
"628043","0","1","0","0","0","0","0","0","-1","-1"
"628073","0","1","0","3.18641","13","0.245108","0.122554","0.245108","-1","-1"
"645503","0","1","0","2.97143","37","0.0803089","0.0401545","0.0803089","-1","-1"
"646483","0","1","0","0","2","0","0","0","-1","-1"
"742143","10","20","0.333333","2.66265","7","0.380379","0.356856","0.333333","0","-1"
"755113","0","1","0","29.78","124","0.240161","0.120081","0.240161","-1","-1"
"759251","8","13","0.380952","8.1015","23","0.352239","0.366596","0.380952","0","-1"
"778057","0","1","0","30.2056","137","0.220479","0.110239","0.220479","-1","-1"
"786764","0","2","0","23.8111","107","0.222534","0.111267","0.222534","-1","-1"
"788524","4","7","0.363636","18.1279","86","0.21079","0.287213","0.363636","-1","-1"
"806133","0","1","0","5.78742","27","0.214349","0.107174","0.214349","-1","-1"
"807095","9","21","0.3","3.45237","13","0.265567","0.282783","0.3","-1","-1"
"807242","0","1","0","0.5","4","0.125","0.0625","0.125","-1","-1"
"820585","0","1","0","48.0789","218","0.220545","0.110273","0.220545","-1","-1"
"824157","0","1","0","13.0417","64","0.203776","0.101888","0.203776","-1","-1"
"972651","13","12","0.52","15.9506","64","0.249228","0.384614","0.52","0","-1"
"1077971","0","1","0","4.05864","31","0.130924","0.0654619","0.130924","-1","-1"
"1140451","1","0","1","56.4904","217","0.260324","0.630162","1","1","1"
