"userid","rumour_ratio","sum_RR_following","following_count","avg_RR_following","avg_userRR_followingRR","userRR_OR_avgfollowingRR","user_status1","user_status2"
"428333","0.55814","4.21463","12","0.351219","0.45468","0.55814","0","-1"
"628043","0","0","0","0","0","0","-1","-1"
"742143","0.333333","3.09211","8","0.386514","0.359923","0.333333","0","-1"
"759251","0.3","8.15459","23","0.354547","0.327274","0.3","-1","-1"
"778057","0","29.8567","136","0.219535","0.109767","0.219535","-1","-1"
"807095","0.25","3.83333","13","0.294872","0.272436","0.25","-1","-1"
"972651","0.481481","16.3922","65","0.252188","0.366834","0.481481","0","-1"
"1367531","0.609756","7.91929","24","0.32997","0.469863","0.609756","0","-1"
"1652541","0.526316","19.8863","55","0.361568","0.443942","0.526316","0","-1"
"1877831","0","16.2551","48","0.338648","0.169324","0.338648","-1","-1"
"2097571","0.414634","4.87329","19","0.256489","0.335561","0.414634","-1","-1"
"2467791","0.25","24.9128","81","0.307565","0.278783","0.25","-1","-1"
"2557521","0","0","0","0","0","0","-1","-1"
"3108351","0.37931","1.56863","14","0.112045","0.245678","0.37931","-1","-1"
"4970411","0.333333","0.461538","3","0.153846","0.243589","0.333333","-1","-1"
"5402612","0.592105","0.333333","2","0.166666","0.379386","0.592105","0","-1"
"6017542","0.666667","42.4396","102","0.416075","0.541371","0.666667","0","1"
"6038642","0","6.77167","20","0.338584","0.169292","0.338584","-1","-1"
"6433472","0.5","8.49445","43","0.197545","0.348773","0.5","-1","-1"
"7587032","0.511905","0.852941","1","0.852941","0.682423","0.511905","1","1"
"8736882","0","2.44111","13","0.187778","0.0938888","0.187778","-1","-1"
"8839632","0","6.63469","12","0.552891","0.276445","0.552891","-1","-1"
"9606552","0","5.61896","26","0.216114","0.108057","0.216114","-1","-1"
"10252962","0","18.3226","49","0.373931","0.186965","0.373931","-1","-1"
"12848262","0.5","3.71762","12","0.309802","0.404901","0.5","0","-1"
"12987202","0","0","0","0","0","0","-1","-1"
"12993222","0","14.5054","45","0.322342","0.161171","0.322342","-1","-1"
"13896552","0","0.481481","2","0.24074","0.12037","0.24074","-1","-1"
"14138785","0.454545","13.8073","44","0.313802","0.384174","0.454545","0","-1"
"14173315","0.540541","14.4614","45","0.321364","0.430953","0.540541","0","-1"
"14216661","0","9.3066","26","0.357946","0.178973","0.357946","-1","-1"
"14498713","0","0","0","0","0","0","-1","-1"
"14511951","0.444444","49.1382","179","0.274515","0.35948","0.444444","0","-1"
"14584903","0","5.28819","13","0.406784","0.203392","0.406784","-1","-1"
"14588798","0","1.14815","5","0.22963","0.114815","0.22963","-1","-1"
"14678279","0","4.5","18","0.25","0.125","0.25","-1","-1"
"14681605","0","0","1","0","0","0","-1","-1"
"15012486","0.428571","4.21264","13","0.324049","0.37631","0.428571","0","-1"
"15020865","0","0","0","0","0","0","-1","-1"
"15070269","0","10.5522","37","0.285195","0.142597","0.285195","-1","-1"
"15108702","0.2","9.87985","18","0.548881","0.37444","0.2","0","-1"
"15157939","0","1.33333","7","0.190476","0.0952379","0.190476","-1","-1"
"15224867","0","8.46971","25","0.338788","0.169394","0.338788","-1","-1"
"15232098","0","1.78148","12","0.148457","0.0742284","0.148457","-1","-1"
"15256225","0","0","2","0","0","0","-1","-1"
"15361389","0","0","1","0","0","0","-1","-1"
"15586316","0","8.30893","39","0.21305","0.106525","0.21305","-1","-1"
"15598781","0","1","3","0.333333","0.166667","0.333333","-1","-1"
"15754281","0.5","19.1379","51","0.375253","0.437626","0.5","0","-1"
"15966995","0","21.6372","76","0.2847","0.14235","0.2847","-1","-1"
"15994109","0","15.1914","50","0.303829","0.151914","0.303829","-1","-1"
"15996661","0.75","12.1391","49","0.247737","0.498868","0.75","0","-1"
"16076032","0","16.5997","103","0.161162","0.080581","0.161162","-1","-1"
"16106522","0","17.4485","58","0.300836","0.150418","0.300836","-1","-1"
"16220555","0","2.5","16","0.15625","0.078125","0.15625","-1","-1"
"16249591","0","11.6279","47","0.247402","0.123701","0.247402","-1","-1"
"16299754","0","43.5859","161","0.27072","0.13536","0.27072","-1","-1"
"16307818","0","16.9249","61","0.277457","0.138729","0.277457","-1","-1"
"16313405","0","0.5","4","0.125","0.0625","0.125","-1","-1"
"16338550","0","2.36667","16","0.147917","0.0739584","0.147917","-1","-1"
"16343974","0.352941","6.30702","16","0.394189","0.373565","0.352941","0","-1"
"16469809","0","16.7241","71","0.23555","0.117775","0.23555","-1","-1"
"16534576","0","4.04264","9","0.449182","0.224591","0.449182","-1","-1"
"16552689","0","1","2","0.5","0.25","0.5","-1","-1"
"16560657","0","10.966","29","0.378137","0.189069","0.378137","-1","-1"
"16671007","0","28.7782","103","0.2794","0.1397","0.2794","-1","-1"
"16745015","0","1.90116","6","0.31686","0.15843","0.31686","-1","-1"
"16753407","0","8.08449","28","0.288732","0.144366","0.288732","-1","-1"
"16957390","0","0.481481","3","0.160494","0.0802468","0.160494","-1","-1"
"16973333","0.25974","6.91812","42","0.164717","0.212229","0.25974","-1","-1"
"17001435","0","25.9876","113","0.229979","0.114989","0.229979","-1","-1"
"17093604","0","0","0","0","0","0","-1","-1"
"17354377","0","16.0044","77","0.20785","0.103925","0.20785","-1","-1"
"17374906","0","1.41779","3","0.472596","0.236298","0.472596","-1","-1"
"17469289","0.5","38.5244","97","0.397159","0.448579","0.5","0","-1"
"17537467","0","25.8133","125","0.206506","0.103253","0.206506","-1","-1"
"17659340","0","0","2","0","0","0","-1","-1"
"17679977","0","2.16667","3","0.722223","0.361112","0.722223","0","-1"
"17820367","0","5.96073","16","0.372546","0.186273","0.372546","-1","-1"
"17897698","0","0","0","0","0","0","-1","-1"
"17983365","0","35.0155","106","0.330335","0.165167","0.330335","-1","-1"
"18060885","0","2","10","0.2","0.1","0.2","-1","-1"
"18144581","0","13.5646","34","0.398959","0.199479","0.398959","-1","-1"
"18145829","0","9.50893","29","0.327894","0.163947","0.327894","-1","-1"
"18206318","0","2.53246","8","0.316557","0.158279","0.316557","-1","-1"
"18207168","0","4.26134","16","0.266334","0.133167","0.266334","-1","-1"
"18217574","0","0.666667","7","0.0952381","0.0476191","0.0952381","-1","-1"
"18277355","0","0.5","3","0.166667","0.0833333","0.166667","-1","-1"
"18479513","0","8.33934","22","0.379061","0.18953","0.379061","-1","-1"
"18510860","0.2","14.2338","58","0.24541","0.222705","0.2","-1","-1"
"18622869","0","10.4408","39","0.267713","0.133856","0.267713","-1","-1"
"18638090","0","1.66667","9","0.185186","0.0925928","0.185186","-1","-1"
"18643437","0.142857","2.18889","15","0.145926","0.144392","0.142857","-1","-1"
"18711754","0","13.1957","44","0.299902","0.149951","0.299902","-1","-1"
"18839785","0","8.85774","47","0.188463","0.0942313","0.188463","-1","-1"
"18965790","0","0.5","1","0.5","0.25","0.5","-1","-1"
"18999969","0","1.16667","3","0.38889","0.194445","0.38889","-1","-1"
"19000033","0","3.16667","9","0.351852","0.175926","0.351852","-1","-1"
"19013887","0","2.98148","14","0.212963","0.106481","0.212963","-1","-1"
"19038934","0.666667","9.8012","22","0.445509","0.556088","0.666667","1","1"
"19041310","0","0","1","0","0","0","-1","-1"
"19057300","0","0","1","0","0","0","-1","-1"
"19077044","0","1.23148","3","0.410494","0.205247","0.410494","-1","-1"
"19114232","0","17.7967","65","0.273795","0.136898","0.273795","-1","-1"
"19222164","0","6.15935","27","0.228124","0.114062","0.228124","-1","-1"
"19240337","0","0.5","3","0.166667","0.0833333","0.166667","-1","-1"
"19292807","0","7.17565","20","0.358783","0.179391","0.358783","-1","-1"
"19630451","0","11.9577","38","0.314676","0.157338","0.314676","-1","-1"
"19636948","0","7.12839","21","0.339447","0.169724","0.339447","-1","-1"
"19673276","0","0","0","0","0","0","-1","-1"
"19737638","0","0","0","0","0","0","-1","-1"
"19796721","0","0","1","0","0","0","-1","-1"
"19835035","0","0","1","0","0","0","-1","-1"
"19881665","1","18.0787","63","0.286963","0.643482","1","1","1"
"20295763","0","8.16667","30","0.272222","0.136111","0.272222","-1","-1"
"20633535","0","24.1765","79","0.306031","0.153016","0.306031","-1","-1"
"20639175","0.6","12.4409","58","0.214499","0.407249","0.6","0","-1"
"20748745","0","10.3224","40","0.25806","0.12903","0.25806","-1","-1"
"21106414","0","2.38333","11","0.216666","0.108333","0.216666","-1","-1"
"21212604","0","1.22481","4","0.306202","0.153101","0.306202","-1","-1"
"21220931","0","15.0771","54","0.279206","0.139603","0.279206","-1","-1"
"21328706","0","25.9386","82","0.316324","0.158162","0.316324","-1","-1"
"21362105","0","2.58333","20","0.129166","0.0645832","0.129166","-1","-1"
"21660529","0","0.55814","1","0.55814","0.27907","0.55814","-1","-1"
"21924217","0","17.1349","77","0.222531","0.111265","0.222531","-1","-1"
"22129280","1","8.72778","21","0.415609","0.707804","1","1","1"
"22192440","0","24.3127","65","0.374042","0.187021","0.374042","-1","-1"
"22536395","0","0","0","0","0","0","-1","-1"
"22568416","0","11.2282","35","0.320806","0.160403","0.320806","-1","-1"
"22596730","0","1.55814","6","0.25969","0.129845","0.25969","-1","-1"
"22872643","0","2.39147","13","0.183959","0.0919796","0.183959","-1","-1"
"22930902","0","0","0","0","0","0","-1","-1"
"22968158","0","25.9465","97","0.26749","0.133745","0.26749","-1","-1"
"23100148","0","0","1","0","0","0","-1","-1"
"23655688","0","5.00591","11","0.455083","0.227541","0.455083","-1","-1"
"23783692","0","0","1","0","0","0","-1","-1"
"23796987","0","1.16667","5","0.233334","0.116667","0.233334","-1","-1"
"23937894","0","1.16667","7","0.166667","0.0833336","0.166667","-1","-1"
"24000965","0","2.66667","5","0.533334","0.266667","0.533334","-1","-1"
"24006071","0","1","1","1","0.5","1","0","1"
"24026321","0","0.5","1","0.5","0.25","0.5","-1","-1"
"24057048","0","1.87698","6","0.31283","0.156415","0.31283","-1","-1"
