"userid","rcount","nrcount","rumour_ratio","sum_RR_following","following_count","avg_RR_following","avg_userRR_followingRR","userRR_OR_avgfollowingRR","user_status1","user_status2"
"0","0","0","0","0","0","0","0","0","-1","-1"
"58","0","1","0","0.568627","5","0.113725","0.0568627","0.113725","-1","-1"
"2426","0","1","0","4.53334","15","0.302223","0.151111","0.302223","-1","-1"
"4816","0","1","0","2.63","23","0.114348","0.0571739","0.114348","-1","-1"
"13374","0","1","0","19.7012","76","0.259226","0.129613","0.259226","-1","-1"
"36823","0","1","0","13.0933","64","0.204583","0.102291","0.204583","-1","-1"
"428333","24","19","0.55814","4.21463","12","0.351219","0.45468","0.55814","0","-1"
"465973","0","2","0","0","4","0","0","0","-1","-1"
"612473","0","2","0","5.19211","14","0.370865","0.185433","0.370865","-1","-1"
"624413","0","1","0","0.37931","1","0.37931","0.189655","0.37931","-1","-1"
"628073","0","1","0","5.23168","15","0.348779","0.174389","0.348779","-1","-1"
"645503","0","1","0","3.9958","37","0.107995","0.0539973","0.107995","-1","-1"
"646483","0","1","0","0","2","0","0","0","-1","-1"
"742143","9","18","0.333333","3.09211","8","0.386514","0.359923","0.333333","0","-1"
"755113","0","1","0","29.712","118","0.251797","0.125898","0.251797","-1","-1"
"759251","6","14","0.3","8.15459","23","0.354547","0.327274","0.3","-1","-1"
"786764","0","2","0","25.4449","108","0.235601","0.1178","0.235601","-1","-1"
"788524","4","8","0.333333","18.9986","87","0.218375","0.275854","0.333333","-1","-1"
"806133","0","1","0","5.71242","27","0.211571","0.105786","0.211571","-1","-1"
"807095","7","21","0.25","3.83333","13","0.294872","0.272436","0.25","-1","-1"
"807242","0","1","0","0.5","4","0.125","0.0625","0.125","-1","-1"
"820585","0","1","0","46.411","209","0.222062","0.111031","0.222062","-1","-1"
"824157","0","1","0","11.1111","60","0.185184","0.0925922","0.185184","-1","-1"
"972651","13","14","0.481481","16.3922","65","0.252188","0.366834","0.481481","0","-1"
"1077971","0","1","0","3.05925","30","0.101975","0.0509875","0.101975","-1","-1"
"1140451","1","0","1","57.807","209","0.276588","0.638294","1","1","1"
"1344951","1","1","0.5","1.5","6","0.25","0.375","0.5","0","-1"
"1367531","25","16","0.609756","7.91929","24","0.32997","0.469863","0.609756","0","-1"
