userid,rcount,nrcount,rumour_ratio,user_status
58,0,1,0,-1
2426,0,1,0,-1
4816,0,1,0,-1
13374,0,1,0,-1
36823,0,1,0,-1
428333,24,19,0.55814,0
465973,0,2,0,-1
612473,0,2,0,-1
624413,0,1,0,-1
628073,0,1,0,-1
645503,0,1,0,-1
646483,0,1,0,-1
742143,9,18,0.333333,0
755113,0,1,0,-1
759251,6,14,0.3,0
786764,0,2,0,-1
788524,4,8,0.333333,0
806133,0,1,0,-1
807095,7,21,0.25,-1
807242,0,1,0,-1
820585,0,1,0,-1
824157,0,1,0,-1
972651,13,14,0.481481,0
1077971,0,1,0,-1
1140451,1,0,1,1
1344951,1,1,0.5,0
1367531,25,16,0.609756,1
1496971,1,0,1,1
1652541,10,9,0.526316,0
1716581,8,13,0.380952,0
1877831,0,5,0,-1
1947301,0,3,0,-1
1994321,14,9,0.608696,1
2097571,17,24,0.414634,0
2195241,0,1,0,-1
2467791,2,6,0.25,-1
2768501,15,11,0.576923,0
2836421,1,1,0.5,0
2884771,2,4,0.333333,0
3108351,22,36,0.37931,0
3497941,2,0,1,1
3684431,1,0,1,1
3806691,1,0,1,1
4033561,1,0,1,1
4126501,0,1,0,-1
4207961,0,1,0,-1
4465521,0,1,0,-1
4970411,3,6,0.333333,0
5392522,1,0,1,1
5402612,45,31,0.592105,0
5513002,1,8,0.111111,-1
5695632,1,2,0.333333,0
5698002,0,1,0,-1
5858532,0,1,0,-1
5867842,1,1,0.5,0
5943072,4,5,0.444444,0
5971922,0,2,0,-1
5988062,0,3,0,-1
6017542,18,9,0.666667,1
6039302,0,1,0,-1
6107422,0,3,0,-1
6134882,0,1,0,-1
6160792,0,1,0,-1
6246092,0,1,0,-1
6267962,0,1,0,-1
6273552,0,1,0,-1
6361512,0,1,0,-1
6433472,1,1,0.5,0
6473022,0,3,0,-1
6482142,1,0,1,1
6591312,3,0,1,1
6705042,0,1,0,-1
7197752,0,1,0,-1
7214972,1,0,1,1
7309052,4,1,0.8,1
7401202,0,1,0,-1
7587032,43,41,0.511905,0
7589572,1,4,0.2,-1
7607852,0,2,0,-1
7702542,0,5,0,-1
7744592,2,6,0.25,-1
7768402,0,11,0,-1
7779462,0,1,0,-1
7874982,0,1,0,-1
7993262,0,1,0,-1
8071902,0,2,0,-1
8161232,0,1,0,-1
8170292,0,1,0,-1
8197942,1,1,0.5,0
8320162,0,1,0,-1
8330472,0,1,0,-1
8350912,2,1,0.666667,1
8475532,1,0,1,1
8547752,0,1,0,-1
8839632,0,1,0,-1
8973062,1,0,1,1
9207632,0,1,0,-1
9235982,1,0,1,1
9295502,0,1,0,-1
9411482,0,1,0,-1
9487272,0,1,0,-1
9507342,2,1,0.666667,1
9517882,0,1,0,-1
9609632,7,3,0.7,1
9624742,0,1,0,-1
9648652,1,0,1,1
9651232,3,1,0.75,1
9763482,1,0,1,1
9890492,0,1,0,-1
10102272,0,1,0,-1
10168082,1,0,1,1
10313752,0,1,0,-1
10703412,0,1,0,-1
10876852,0,1,0,-1
11018152,0,1,0,-1
11203972,0,1,0,-1
11265832,0,5,0,-1
11345012,0,1,0,-1
11741632,0,1,0,-1
11793022,0,1,0,-1
12004852,2,2,0.5,0
12442992,0,1,0,-1
12520212,1,0,1,1
12579352,1,1,0.5,0
12716032,0,1,0,-1
12811952,0,1,0,-1
12848262,1,1,0.5,0
12858902,0,1,0,-1
13049362,2,1,0.666667,1
13393052,0,9,0,-1
13493302,0,1,0,-1
13496142,0,3,0,-1
13557782,0,1,0,-1
13557972,1,1,0.5,0
13753642,0,1,0,-1
13829772,0,1,0,-1
14082466,0,1,0,-1
14085040,0,1,0,-1
14090948,7,95,0.0686274,-1
14095052,0,3,0,-1
14098166,0,1,0,-1
14123751,0,1,0,-1
14138785,5,6,0.454545,0
14155907,2,2,0.5,0
14159148,0,1,0,-1
14173315,20,17,0.540541,0
14200367,0,1,0,-1
14224719,0,1,0,-1
14231313,0,1,0,-1
14260960,0,2,0,-1
14264854,0,1,0,-1
14267557,0,3,0,-1
14275129,0,1,0,-1
14287669,0,1,0,-1
14289923,1,0,1,1
14291684,0,1,0,-1
14293310,5,11,0.3125,0
14316371,0,1,0,-1
14319105,0,1,0,-1
14321959,0,3,0,-1
14353202,0,1,0,-1
14372486,0,1,0,-1
14392559,0,1,0,-1
14401607,1,1,0.5,0
14404725,0,1,0,-1
14413869,0,1,0,-1
14437914,0,1,0,-1
14460241,2,1,0.666667,1
14464766,3,1,0.75,1
14465607,0,1,0,-1
14485018,0,1,0,-1
14503124,0,1,0,-1
14511951,4,5,0.444444,0
14515799,1,1,0.5,0
14521106,0,1,0,-1
14526877,0,2,0,-1
14550221,0,1,0,-1
14560097,1,0,1,1
14569869,5,1,0.833333,1
14588748,0,1,0,-1
14599545,1,0,1,1
14606079,0,2,0,-1
14609435,0,1,0,-1
14675395,0,1,0,-1
14677919,0,3,0,-1
14697575,0,1,0,-1
14700117,0,1,0,-1
14700316,0,2,0,-1
14715424,0,4,0,-1
14717197,4,2,0.666667,1
14722589,3,1,0.75,1
14722676,0,1,0,-1
14764240,0,1,0,-1
14765253,0,1,0,-1
14782581,0,1,0,-1
14788739,0,1,0,-1
14806497,1,0,1,1
14831475,0,1,0,-1
14849562,0,14,0,-1
14855994,0,1,0,-1
14888597,0,1,0,-1
14892330,0,1,0,-1
14892665,0,1,0,-1
14940354,4,5,0.444444,0
14997555,1,0,1,1
15012486,3,4,0.428571,0
15028398,0,1,0,-1
15037033,1,0,1,1
15084853,0,1,0,-1
15108530,3,0,1,1
15108702,2,8,0.2,-1
15143478,0,2,0,-1
15164565,1,7,0.125,-1
15170194,0,1,0,-1
15179672,0,1,0,-1
15220768,2,0,1,1
15224867,0,1,0,-1
15232098,0,1,0,-1
15234407,0,1,0,-1
15234546,2,1,0.666667,1
15235811,0,1,0,-1
15249499,0,1,0,-1
15250661,4,4,0.5,0
15279429,0,1,0,-1
15319103,0,1,0,-1
15348883,0,1,0,-1
15374755,0,1,0,-1
15384969,0,2,0,-1
15400294,2,0,1,1
15438913,10,17,0.37037,0
15439395,0,5,0,-1
15446531,0,1,0,-1
15446551,0,1,0,-1
15458694,0,1,0,-1
15486071,0,1,0,-1
15492359,0,1,0,-1
15513604,1,3,0.25,-1
15557246,0,1,0,-1
15638836,0,1,0,-1
15644999,0,3,0,-1
15667291,0,1,0,-1
15669672,2,0,1,1
15727317,3,1,0.75,1
15754281,10,10,0.5,0
15764415,0,1,0,-1
15774048,0,1,0,-1
15798091,0,1,0,-1
15837659,1,0,1,1
15871416,0,1,0,-1
15888299,0,1,0,-1
15890403,1,0,1,1
15896580,1,1,0.5,0
15907183,0,6,0,-1
15911806,0,1,0,-1
15932715,0,2,0,-1
15942075,1,0,1,1
15951166,0,1,0,-1
15951232,1,0,1,1
15956067,0,2,0,-1
15995155,0,1,0,-1
15996661,3,1,0.75,1
16012783,4,6,0.4,0
16019070,1,0,1,1
16029780,0,1,0,-1
16031927,2,2,0.5,0
16045547,0,1,0,-1
16055389,0,2,0,-1
16076032,0,1,0,-1
16077204,0,1,0,-1
16080866,0,1,0,-1
16096416,0,1,0,-1
16106584,0,2,0,-1
16116288,3,1,0.75,1
16145763,6,1,0.857143,1
16150136,1,0,1,1
16153562,0,3,0,-1
16164636,0,3,0,-1
16170253,0,1,0,-1
16183458,1,0,1,1
16184358,0,2,0,-1
16198940,0,4,0,-1
16211566,1,1,0.5,0
16215478,1,3,0.25,-1
16253142,0,2,0,-1
16269666,1,0,1,1
16305558,0,1,0,-1
16311797,0,1,0,-1
16330790,0,1,0,-1
16343974,12,22,0.352941,0
16395449,0,1,0,-1
16416978,0,1,0,-1
16444025,0,1,0,-1
16469809,0,2,0,-1
16513349,1,0,1,1
16525194,1,2,0.333333,0
16553638,0,1,0,-1
16560657,0,2,0,-1
16567644,1,1,0.5,0
16589206,3,7,0.3,0
16591979,1,0,1,1
16593816,1,0,1,1
16650570,0,1,0,-1
16661744,0,1,0,-1
16664681,1,1,0.5,0
16671007,0,1,0,-1
16672510,0,2,0,-1
16675569,9,10,0.473684,0
16681111,0,1,0,-1
16683666,0,1,0,-1
16705804,0,1,0,-1
16721461,0,1,0,-1
16725276,0,1,0,-1
16734909,0,1,0,-1
16807528,0,2,0,-1
16811829,0,1,0,-1
16827148,0,2,0,-1
16832632,0,1,0,-1
16834491,0,1,0,-1
16834659,19,2,0.904762,1
16887175,5,3,0.625,1
16887934,0,1,0,-1
16893929,2,0,1,1
16900353,0,1,0,-1
16930489,1,1,0.5,0
16931360,0,1,0,-1
16935292,0,1,0,-1
16936858,2,2,0.5,0
16948493,1,2,0.333333,0
16955991,1,2,0.333333,0
16960279,0,1,0,-1
16973333,20,57,0.25974,-1
16992416,0,2,0,-1
