"userid","rumour_ratio","sum_RR_following","following_count","avg_RR_following","avg_userRR_followingRR","userRR_OR_avgfollowingRR","user_status1","user_status2"
"428333","0.651163","4.18896","13","0.322228","0.486695","0.651163","0","-1"
"612473","0","4.25076","12","0.35423","0.177115","0.35423","-1","-1"
"628073","0","4.75","10","0.475","0.2375","0.475","-1","-1"
"742143","0.157895","3.14286","7","0.44898","0.303438","0.157895","-1","-1"
"759251","0.304348","6.71759","20","0.33588","0.320114","0.304348","-1","-1"
"788524","0.3","17.4938","83","0.210769","0.255384","0.3","-1","-1"
"807095","0.222222","4.61904","14","0.329931","0.276077","0.222222","-1","-1"
"972651","0.45","12.601","63","0.200016","0.325008","0.45","-1","-1"
"1140451","0","55.8192","215","0.259624","0.129812","0.259624","-1","-1"
"1367531","0.566667","6.67214","22","0.303279","0.434973","0.566667","0","-1"
"1652541","0.607143","18.0099","54","0.333517","0.47033","0.607143","0","-1"
"2097571","0.384615","5.43733","17","0.319843","0.352229","0.384615","0","-1"
"2467791","0.3","24.3035","83","0.292813","0.296407","0.3","-1","-1"
"2768501","0.75","8.03064","32","0.250957","0.500479","0.75","0","1"
"2884771","0.2","17.4175","72","0.24191","0.220955","0.2","-1","-1"
"3108351","0.44898","1.56863","13","0.120664","0.284822","0.44898","-1","-1"
"3684431","0","13.9627","66","0.211556","0.105778","0.211556","-1","-1"
"4033561","0","7.01464","32","0.219207","0.109604","0.219207","-1","-1"
"4465521","0","3.50769","16","0.219231","0.109615","0.219231","-1","-1"
"4970411","0.375","0.375","3","0.125","0.25","0.375","-1","-1"
"5402612","0.642857","0.157895","2","0.0789475","0.360902","0.642857","0","-1"
"5695632","0","22.8705","92","0.248592","0.124296","0.248592","-1","-1"
"5988062","0","8.98221","29","0.309731","0.154866","0.309731","-1","-1"
"6017542","0.65625","41.3258","98","0.421692","0.538971","0.65625","0","1"
"6246092","0","2.65","8","0.33125","0.165625","0.33125","-1","-1"
"6433472","0.647059","34.1356","93","0.367049","0.507054","0.647059","0","1"
"7309052","0.75","44.8955","156","0.287792","0.518896","0.75","0","1"
"7401202","0","4.80953","14","0.343538","0.171769","0.343538","-1","-1"
"7587032","0.492063","0.903226","1","0.903226","0.697644","0.492063","1","1"
"7589572","0.25","13.6743","79","0.173092","0.211546","0.25","-1","-1"
"7702542","0","11.3158","47","0.240762","0.120381","0.240762","-1","-1"
"7744592","0.333333","23.5208","77","0.305465","0.319399","0.333333","-1","-1"
"8170292","0","18.8271","112","0.168099","0.0840496","0.168099","-1","-1"
"8197942","0","19.9728","59","0.338522","0.169261","0.338522","-1","-1"
"8839632","0.666667","8.46626","13","0.651251","0.658959","0.666667","1","1"
"9235982","0","14.378","47","0.305915","0.152957","0.305915","-1","-1"
"9507342","0.5","76.4867","323","0.236801","0.3684","0.5","0","-1"
"9517882","0","3.5128","37","0.0949405","0.0474703","0.0949405","-1","-1"
"9609632","0","3.37236","12","0.28103","0.140515","0.28103","-1","-1"
"9624742","0","0","8","0","0","0","-1","-1"
"10703412","0","3.30741","13","0.254416","0.127208","0.254416","-1","-1"
"11741632","0","4.08651","28","0.145947","0.0729734","0.145947","-1","-1"
"13049362","0.5","12.6804","47","0.269796","0.384898","0.5","0","-1"
"13496142","0","0","4","0","0","0","-1","-1"
"14098166","0","2.48125","7","0.354464","0.177232","0.354464","-1","-1"
"14138785","0.583333","12.6832","40","0.31708","0.450207","0.583333","0","-1"
"14173315","0.586207","16.4173","46","0.356898","0.471552","0.586207","0","-1"
"14200367","0","17.3371","64","0.270892","0.135446","0.270892","-1","-1"
"14224719","0","1.61706","25","0.0646824","0.0323412","0.0646824","-1","-1"
"14260960","0","17.7311","42","0.422169","0.211085","0.422169","-1","-1"
"14293310","0.307692","10.8387","46","0.235624","0.271658","0.307692","-1","-1"
"14316371","0","1.73333","9","0.192592","0.0962961","0.192592","-1","-1"
"14401607","0","36.6002","130","0.28154","0.14077","0.28154","-1","-1"
"14460241","0","20.5416","60","0.34236","0.17118","0.34236","-1","-1"
"14503124","0","0","2","0","0","0","-1","-1"
"14515799","0","26.2004","105","0.249528","0.124764","0.249528","-1","-1"
"14569869","0.8","23.4888","111","0.211611","0.505805","0.8","0","1"
"14697575","0","0.625","4","0.15625","0.078125","0.15625","-1","-1"
"14765253","0","5.49782","21","0.261801","0.1309","0.261801","-1","-1"
"14788739","0","0","1","0","0","0","-1","-1"
"14940354","0.166667","38.3092","137","0.279629","0.223148","0.166667","-1","-1"
"15012486","0.571429","3.78231","14","0.270165","0.420797","0.571429","0","-1"
"15108702","0.2","6.62315","17","0.389597","0.294799","0.2","-1","-1"
"15143478","0","1.625","31","0.0524194","0.0262097","0.0524194","-1","-1"
"15220768","1","11.7481","45","0.261069","0.630534","1","1","1"
"15232098","0","1.475","12","0.122917","0.0614583","0.122917","-1","-1"
"15250661","0","43.1609","163","0.264791","0.132395","0.264791","-1","-1"
"15374755","0","7.20967","28","0.257488","0.128744","0.257488","-1","-1"
"15384969","0","13.6667","57","0.239767","0.119883","0.239767","-1","-1"
"15400294","0","7.00625","17","0.412132","0.206066","0.412132","-1","-1"
"15638836","0","1.75","3","0.583333","0.291667","0.583333","-1","-1"
"15669672","0","6.10797","27","0.226221","0.113111","0.226221","-1","-1"
"15754281","0.473684","17.6565","50","0.35313","0.413407","0.473684","0","-1"
"15907183","0","12.0378","54","0.222922","0.111461","0.222922","-1","-1"
"16012783","0.444444","19.9453","71","0.28092","0.362682","0.444444","0","-1"
"16019070","0","21.2116","72","0.294606","0.147303","0.294606","-1","-1"
