"userid","rcount","nrcount","rumour_ratio","sum_RR_following","following_count","avg_RR_following","avg_userRR_followingRR","userRR_OR_avgfollowingRR","user_status1","user_status2"
"58","0","1","0","0.568627","5","0.113725","0.0568627","0.113725","-1","-1"
"2426","0","1","0","3.32292","14","0.237351","0.118676","0.237351","-1","-1"
"4816","0","1","0","1.955","24","0.0814583","0.0407292","0.0814583","-1","-1"
"13374","0","1","0","19.4044","68","0.285359","0.142679","0.285359","-1","-1"
"36823","0","1","0","11.4926","67","0.171531","0.0857657","0.171531","-1","-1"
"428333","28","15","0.651163","4.18896","13","0.322228","0.486695","0.651163","0","-1"
"465973","0","2","0","0","3","0","0","0","-1","-1"
"612473","0","1","0","4.25076","12","0.35423","0.177115","0.35423","-1","-1"
"624413","0","1","0","1.44898","2","0.72449","0.362245","0.72449","0","-1"
"628043","0","1","0","0","0","0","0","0","-1","-1"
"645503","0","1","0","3.90323","38","0.102717","0.0513583","0.102717","-1","-1"
"646483","0","1","0","0","2","0","0","0","-1","-1"
"742143","3","16","0.157895","3.14286","7","0.44898","0.303438","0.157895","-1","-1"
"755113","0","1","0","28.7846","121","0.237889","0.118945","0.237889","-1","-1"
"759251","7","16","0.304348","6.71759","20","0.33588","0.320114","0.304348","-1","-1"
"778057","0","1","0","25.9376","133","0.19502","0.0975098","0.19502","-1","-1"
"786764","0","2","0","20.8885","101","0.206817","0.103408","0.206817","-1","-1"
"788524","3","7","0.3","17.4938","83","0.210769","0.255384","0.3","-1","-1"
"806133","0","1","0","4.79609","24","0.199837","0.0999185","0.199837","-1","-1"
"807095","6","21","0.222222","4.61904","14","0.329931","0.276077","0.222222","-1","-1"
"807242","0","1","0","0.5","4","0.125","0.0625","0.125","-1","-1"
"820585","0","1","0","45.7058","211","0.216615","0.108308","0.216615","-1","-1"
"824157","0","1","0","9.16667","59","0.155367","0.0776836","0.155367","-1","-1"
"972651","9","11","0.45","12.601","63","0.200016","0.325008","0.45","-1","-1"
"1077971","0","1","0","3.775","29","0.130172","0.0650862","0.130172","-1","-1"
"1344951","1","1","0.5","0.5","5","0.1","0.3","0.5","-1","-1"
"1367531","17","13","0.566667","6.67214","22","0.303279","0.434973","0.566667","0","-1"
"1496971","1","0","1","11.3591","42","0.270455","0.635227","1","1","1"
"1652541","17","11","0.607143","18.0099","54","0.333517","0.47033","0.607143","0","-1"
"1716581","8","13","0.380952","12.3096","50","0.246192","0.313572","0.380952","-1","-1"
"1877831","2","5","0.285714","16.0329","45","0.356287","0.321","0.285714","-1","-1"
"1947301","0","3","0","51.2993","242","0.211981","0.10599","0.211981","-1","-1"
"1994321","14","9","0.608696","5.36111","9","0.595679","0.602187","0.608696","1","1"
"2097571","15","24","0.384615","5.43733","17","0.319843","0.352229","0.384615","0","-1"
"2195241","0","1","0","16.1778","75","0.215704","0.107852","0.215704","-1","-1"
"2467791","3","7","0.3","24.3035","83","0.292813","0.296407","0.3","-1","-1"
"2557521","0","1","0","1.16667","6","0.194445","0.0972225","0.194445","-1","-1"
"2768501","3","1","0.75","8.03064","32","0.250957","0.500479","0.75","0","1"
"2836421","1","1","0.5","23.295","70","0.332786","0.416393","0.5","0","-1"
"2884771","1","4","0.2","17.4175","72","0.24191","0.220955","0.2","-1","-1"
"3108351","22","27","0.44898","1.56863","13","0.120664","0.284822","0.44898","-1","-1"
"3497941","2","0","1","52.9397","167","0.317004","0.658502","1","1","1"
"3806691","1","0","1","0","0","0","0.5","1","0","1"
"4126501","0","1","0","7.15357","45","0.158968","0.0794841","0.158968","-1","-1"
"4207961","0","1","0","5.18334","44","0.117803","0.0589016","0.117803","-1","-1"
"4970411","3","5","0.375","0.375","3","0.125","0.25","0.375","-1","-1"
"5392522","1","0","1","7.1","43","0.165116","0.582558","1","1","1"
"5402612","45","25","0.642857","0.157895","2","0.0789475","0.360902","0.642857","0","-1"
"5513002","1","8","0.111111","15.1215","52","0.290798","0.200955","0.111111","-1","-1"
"5695632","0","2","0","22.8705","92","0.248592","0.124296","0.248592","-1","-1"
"5698002","0","1","0","20.4161","58","0.352002","0.176001","0.352002","-1","-1"
"5858532","0","1","0","1.905","16","0.119062","0.0595312","0.119062","-1","-1"
"5867842","1","1","0.5","17.0116","65","0.261717","0.380858","0.5","0","-1"
"5943072","4","5","0.444444","2.40625","6","0.401042","0.422743","0.444444","0","-1"
"5971922","0","2","0","1","5","0.2","0.1","0.2","-1","-1"
"5988062","0","2","0","8.98221","29","0.309731","0.154866","0.309731","-1","-1"
"6017542","21","11","0.65625","41.3258","98","0.421692","0.538971","0.65625","0","1"
"6038642","2","0","1","18.4922","65","0.284495","0.642248","1","1","1"
"6039302","0","1","0","1.5","11","0.136364","0.0681818","0.136364","-1","-1"
"6107422","0","3","0","12.1236","39","0.310861","0.15543","0.310861","-1","-1"
"6134882","0","1","0","8.33611","40","0.208403","0.104201","0.208403","-1","-1"
"6160792","0","1","0","23.3163","125","0.18653","0.0932652","0.18653","-1","-1"
"6267962","0","1","0","2.94029","30","0.0980097","0.0490048","0.0980097","-1","-1"
"6273552","0","1","0","54.6552","216","0.253033","0.126517","0.253033","-1","-1"
"6361512","0","1","0","4.53578","15","0.302385","0.151193","0.302385","-1","-1"
"6433472","11","6","0.647059","34.1356","93","0.367049","0.507054","0.647059","0","1"
"6473022","0","3","0","14.1079","97","0.145442","0.0727211","0.145442","-1","-1"
"6482142","1","0","1","22.748","64","0.355437","0.677719","1","1","1"
"6591312","3","0","1","51.3837","176","0.291953","0.645976","1","1","1"
"6705042","0","1","0","9.53269","68","0.140187","0.0700933","0.140187","-1","-1"
"7197752","0","1","0","5.91079","22","0.268672","0.134336","0.268672","-1","-1"
"7214972","1","0","1","2.82292","26","0.108574","0.554287","1","1","1"
"7309052","3","1","0.75","44.8955","156","0.287792","0.518896","0.75","0","1"
"7587032","31","32","0.492063","0.903226","1","0.903226","0.697644","0.492063","1","1"
"7589572","1","3","0.25","13.6743","79","0.173092","0.211546","0.25","-1","-1"
"7607852","0","2","0","3.12271","20","0.156135","0.0780677","0.156135","-1","-1"
"7702542","0","4","0","11.3158","47","0.240762","0.120381","0.240762","-1","-1"
"7744592","2","4","0.333333","23.5208","77","0.305465","0.319399","0.333333","-1","-1"
"7768402","0","11","0","60.8313","240","0.253464","0.126732","0.253464","-1","-1"
"7779462","0","1","0","0.819444","5","0.163889","0.0819444","0.163889","-1","-1"
"7874982","0","1","0","6.77099","30","0.2257","0.11285","0.2257","-1","-1"
"7993262","0","1","0","0","0","0","0","0","-1","-1"
"8071902","0","2","0","59.3063","224","0.26476","0.13238","0.26476","-1","-1"
"8161232","0","1","0","0.5","12","0.0416667","0.0208333","0.0416667","-1","-1"
"8320162","0","1","0","1.88587","10","0.188587","0.0942935","0.188587","-1","-1"
"8330472","0","1","0","0","0","0","0","0","-1","-1"
"8350912","2","1","0.666667","0.5","2","0.25","0.458333","0.666667","0","-1"
"8475532","1","0","1","21.0229","101","0.208148","0.604074","1","1","1"
"8547752","0","1","0","3.90166","9","0.433518","0.216759","0.433518","-1","-1"
"8736882","19","7","0.730769","6.54602","31","0.211162","0.470965","0.730769","0","-1"
"8839632","2","1","0.666667","8.46626","13","0.651251","0.658959","0.666667","1","1"
"8973062","1","0","1","0","0","0","0.5","1","0","1"
"9207632","0","1","0","1.59936","10","0.159936","0.079968","0.159936","-1","-1"
"9295502","0","1","0","7.73307","50","0.154661","0.0773307","0.154661","-1","-1"
"9411482","0","1","0","14.5851","54","0.270094","0.135047","0.270094","-1","-1"
"9487272","0","1","0","1","5","0.2","0.1","0.2","-1","-1"
"9507342","1","1","0.5","76.4867","323","0.236801","0.3684","0.5","0","-1"
"9606552","1","0","1","21.659","68","0.318515","0.659257","1","1","1"
"9648652","1","0","1","16.7167","38","0.439913","0.719957","1","1","1"
"9651232","3","1","0.75","3.54917","15","0.236611","0.493306","0.75","0","-1"
"9763482","1","0","1","25.0128","76","0.329116","0.664558","1","1","1"
"9890492","0","1","0","13.1442","40","0.328605","0.164302","0.328605","-1","-1"
"10102272","0","1","0","2","13","0.153846","0.0769231","0.153846","-1","-1"
"10168082","1","0","1","71.0159","278","0.255453","0.627726","1","1","1"
"10252962","0","1","0","19.6424","50","0.392848","0.196424","0.392848","-1","-1"
"10313752","0","1","0","6.57327","29","0.226664","0.113332","0.226664","-1","-1"
"10876852","0","1","0","2.76339","4","0.690848","0.345424","0.690848","-1","-1"
"11018152","0","1","0","0.657895","38","0.017313","0.00865651","0.017313","-1","-1"
"11203972","0","1","0","17.4853","74","0.236288","0.118144","0.236288","-1","-1"
"11265832","0","5","0","12.9337","44","0.293948","0.146974","0.293948","-1","-1"
"11345012","0","1","0","11.6686","60","0.194477","0.0972383","0.194477","-1","-1"
"11793022","0","1","0","0","1","0","0","0","-1","-1"
"12004852","2","2","0.5","20.1995","76","0.265783","0.382891","0.5","0","-1"
"12442992","0","1","0","0.5","1","0.5","0.25","0.5","-1","-1"
"12520212","1","0","1","9.76993","52","0.187883","0.593942","1","1","1"
"12579352","1","1","0.5","9.24495","23","0.401954","0.450977","0.5","0","-1"
"12716032","0","1","0","10.4905","57","0.184044","0.0920222","0.184044","-1","-1"
"12811952","0","1","0","22.9127","82","0.279423","0.139712","0.279423","-1","-1"
"12848262","5","2","0.714286","8.78119","21","0.418152","0.566219","0.714286","1","1"
"12858902","0","1","0","5.33339","32","0.166668","0.0833342","0.166668","-1","-1"
"12987202","0","1","0","0","0","0","0","0","-1","-1"
"12993222","0","1","0","43.0572","110","0.391429","0.195715","0.391429","-1","-1"
"13049362","1","1","0.5","12.6804","47","0.269796","0.384898","0.5","0","-1"
"13393052","0","9","0","2.30196","26","0.0885369","0.0442685","0.0885369","-1","-1"
"13493302","0","1","0","35.5402","117","0.303762","0.151881","0.303762","-1","-1"
"13496142","0","2","0","0","4","0","0","0","-1","-1"
"13557782","0","1","0","4.62101","19","0.243211","0.121606","0.243211","-1","-1"
"13557972","1","1","0.5","11.273","60","0.187883","0.343942","0.5","-1","-1"
"13753642","0","1","0","3","34","0.0882353","0.0441176","0.0882353","-1","-1"
"13829772","0","1","0","10.582","41","0.258098","0.129049","0.258098","-1","-1"
"13896552","1","0","1","8.50491","20","0.425246","0.712623","1","1","1"
"14082466","0","1","0","15.212","75","0.202827","0.101413","0.202827","-1","-1"
"14085040","0","1","0","5.30276","19","0.279093","0.139546","0.279093","-1","-1"
"14090948","7","95","0.0686274","23.212","95","0.244337","0.156482","0.0686274","-1","-1"
"14095052","0","3","0","8.44054","54","0.156306","0.0781531","0.156306","-1","-1"
